"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,204100,203400,202600,201700,201300,201400,201800,202100,202900,204200,205600,206700,207300,207600,207900,208400,209100,209900,210800,212100,214000,216200,218300,220100,222000,223900,225500,226900,228600,230600,233000,235200,236600,237700,239100,240400,241500,243200,245700,247600,248900,250000,251400,253400,255700,258400,261100,263400,265300,267500,269500,271600,273700,275500,277100,279100,281300,284300,287400,290300,292400,294100,295900,298100,300400,303000,305800,308900,312000,315400,319000,323200,327600,332000,336600,342000,347400,352900,358700,364500,370000,375200,380100,385100,390100,394700,399400,405300,412000,418900,426400,434500,442700,450500,458800,468500,480500,494200,508100,520600,531200,539200,545300,550700,556600,562500,568600,575800,584100,592800,601100,609400,618900,628600,637400,645300,651500,655200,657900,659800,660300,660500,661800,663200,663600,663400,662800,661500,658600,656500,656500,656900,656300,654400,650000,644100,638500,633300,628500,622900,614800,605700,597000,587400,576400,565200,554300,543200,532900,524700,517900,510900,504000,499200,495400,491400,488000,485000,481800,480000,480000,480800,481700,482100,486800,494400,497600,496000,495200,494800,494400,493900,492300,489500,487200,487500,488100,486200,483900,480800,475700,471200,469200,467300,465000,462900,460700,458100,455400,451700,448800,449400,452000,454500,457600,461500,465600,469000,471300,474500,478400,482600,488200,496700,506700,516800,526300,534400,540900,546600,550700,554000,557100,560600,564300,568300,571600,574400,577100,579800,582400,584800,587000,588500,589200,591300,595200,598200,600800,603300,604700,605500,606300,607700,611300,616400,619600,622200,625200,628500,632000,634800,636200,637000,638800,641100,645300,650600,654700,656800,659900,663800,666600,668400,669700,671300,673700,677600,681200
139,"Cook","IL","Chicago","17","031",2,193600,193300,193100,192900,192400,192100,191800,191800,192100,193000,194000,194800,195300,195800,196000,195800,195500,195600,196300,196800,196800,197200,197900,198800,199500,200100,200300,200800,201300,201600,202600,203800,204600,205400,206600,207700,209000,210800,212100,212800,214300,216600,219100,221600,223800,225700,227600,229000,230300,231300,231900,232900,235100,237700,239900,242100,244200,245800,247400,249300,251600,253800,255400,257100,259100,261600,264400,266600,268200,270100,271800,273100,273900,273800,274800,277300,280200,282100,284200,286700,289500,291900,295300,299400,303100,308500,315800,321000,323400,323700,321700,320000,320500,321800,322500,323300,325100,327400,329500,331500,333400,335800,338700,342000,345500,348700,351300,353400,355600,357600,360100,362900,365700,368700,372000,374400,376000,377900,379800,381800,383900,385700,386600,387500,388800,390000,391300,392300,392000,391800,392400,392700,391700,390000,387700,385400,383300,382000,381100,380200,379200,377500,375500,373000,370100,366500,362100,357900,355300,352900,350100,347400,346200,346400,345900,343500,340600,337900,334800,331800,329400,327900,327000,326800,324700,321400,318200,315700,313300,311500,309700,307100,304500,302400,300300,297500,294600,292600,291200,289900,287700,284900,283000,281100,279200,277000,275000,273000,271400,269400,267800,267000,267000,267000,267500,269000,270000,269400,269300,270400,271900,273000,274000,275400,278300,282900,288700,293800,296900,298900,300400,301800,303300,305200,306300,306300,306500,307800,309100,309900,311300,312300,312000,311500,311100,310300,310000,312100,315200,317300,318000,318500,319400,320600,321600,322600,323500,323500,324100,326200,328400,329100,329400,329300,329000,329600,331400,333100,334700,336700,337900,338200,337800,336800,335500,335000,335600,336700,337500
2402,"Maricopa","AZ","Phoenix","04","013",3,131600,131600,131800,132100,132700,133300,133600,133700,134400,135700,136500,136700,137300,138400,139300,139800,140000,140700,141800,142800,143900,145300,146600,147200,147500,148400,149400,149800,149900,150100,150300,150600,151600,152700,153600,154300,155200,156200,156900,157400,158500,159500,160000,160800,162100,163000,164700,167600,169500,170000,170400,170900,171400,171900,172200,172300,172700,173900,175400,176000,175900,175900,176400,176900,176800,176600,176900,177600,178900,180400,181600,182800,184600,185800,187400,189700,191600,193300,196300,198800,200300,201000,201200,201700,202700,203900,204800,204500,203400,202800,202800,203600,204800,206400,208300,210400,212300,214600,217000,221600,228700,235900,241500,247000,251700,256300,262200,270000,279200,289600,300700,311100,320600,329300,336600,342500,347100,350400,352200,353200,353800,354100,353900,354000,354200,352900,351800,351300,350400,348800,346500,343500,341000,338300,335200,331600,328000,325100,322100,317900,313300,308900,303800,297500,291100,285600,280300,274400,268300,262900,258600,254100,252000,252700,252900,250700,247500,243400,239000,234700,231000,227800,224300,221300,214900,206900,202000,200500,198600,196800,194700,192100,188900,185300,182500,180800,180200,180000,178900,177500,175900,173800,171700,170100,169400,169400,169600,170100,172000,174200,176400,179100,182400,186400,191100,196400,201200,205400,208800,211500,214500,217800,221100,224100,227400,231200,235500,239900,243700,246800,249600,252300,254400,255700,256300,256700,257000,257000,256600,256100,256200,257000,257800,259200,261200,263000,263900,264600,265900,267200,267700,268400,269700,271500,273700,275300,276400,277500,278800,279600,280300,280800,281800,282700,283300,284000,285500,287400,289100,290400,291200,291600,291900,293100,295000,296500,297600,299400,301300
2841,"San Diego","CA","San Diego","06","073",4,210400,209100,207500,206000,205100,204800,205000,205500,206500,207900,209300,210300,211100,212300,213500,214400,215200,216500,218100,219500,221000,222900,225100,227200,229200,231900,235200,238900,242200,244500,246600,249300,251500,252900,254600,256600,258700,260600,262600,264500,266600,268800,271100,273700,277000,280800,284600,287800,290700,293900,297500,301100,304600,308300,311800,315100,318400,322000,325800,330800,335400,338700,341500,344900,348200,351400,354200,356900,360200,363800,366700,368800,372400,377800,383800,390000,396200,402400,409400,416800,423400,429700,435400,439800,443700,447400,450800,455100,461700,469900,478700,487300,496400,506900,518900,532500,547600,563000,578700,593600,605200,612700,618500,623600,628200,632100,635700,639300,641800,643400,644900,646900,649300,652400,655100,656400,656400,656200,656100,656400,656700,656100,653400,649100,644500,639800,635200,632000,629400,626200,623400,621200,618300,615500,612300,608800,605000,600500,596100,592200,586900,579100,569100,558000,547400,538800,531400,524100,517000,510800,504600,497300,490500,485300,480700,476400,472400,467700,464000,461500,459900,459000,459000,459500,460500,461500,463000,463600,464100,464000,462100,459400,457900,455500,451700,447800,445000,444100,443900,442400,439300,436200,433500,431100,427500,424400,423600,424200,424800,425500,426000,427000,428500,430600,433300,436200,440300,445300,449900,454600,459400,463200,468300,476700,485900,495100,504600,512600,518700,525700,531800,535000,536600,539400,542900,545100,545600,546100,547400,548500,549600,551200,553300,556400,561400,566200,568200,569700,572500,574300,575000,578200,582500,585000,586600,589300,591400,592600,594400,596800,599700,602600,607100,612000,615900,618600,622200,626100,628400,628000,626800,627600,631200,636700,641500,645000,648000,650800,652900
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,291700,294300,297000,300100,303100,306200,307700,307100,306800,308400,311000,314000,316500,318800,321900,325300,328200,331500,334200,336000,338500,342700,346200,349800,353700,358100,362200,365700,369100,372500,374500,376200,379000,382100,384700,388100,392100,395700,399300,402400,406300,411700,417900,424000,431100,439100,447400,455200,461700,468100,474600,480600,486200,491600,496800,502200,508600,516400,526200,537600,549800,562600,575800,589900,605800,623800,642500,659200,671800,680600,686900,690900,693800,696300,699500,704300,710900,718200,726500,736800,747500,757600,767300,776700,784200,790500,795500,799300,801500,801700,798900,794400,790300,785700,780400,775600,771100,768200,767900,767900,764600,759000,754300,751100,745600,736900,728300,721400,716300,709700,699200,686700,675900,665400,655400,647400,642500,638800,633300,625900,619100,611100,602600,595200,588900,584300,583000,582700,582900,583400,583300,581500,580200,580100,580000,581100,584100,585900,584100,580000,575100,571500,570000,569800,569400,569300,567900,564100,558600,552800,545800,539300,534000,531100,530700,530900,529400,529200,531600,533600,535100,538400,542900,547700,552800,557400,561400,566300,572500,578800,587400,598400,608700,618700,628800,636800,644000,651300,656500,660100,663500,665700,667100,670200,673500,674800,675500,676700,677700,677900,679000,681400,683700,685600,688400,691700,694300,696400,701400,708100,713300,716000,718600,720700,721900,723200,725900,729500,731900,734000,735000,735800,737100,739400,742000,746000,750500,754800,756100,754900,756100,759600,761500,763000,765500,768200,770400
581,"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376700,394900,413300,433300,453600,470400,478400,481400,488000,498500,505700,509900,512000,512700,513100,513700,515000,519200,520800,521400,526800,536400,545700,556400,568000,580000,591900,603300,616100,631800,642900,646200,644500,641300,635600,632000,630700,628900,627300,625600,620700,614600,610400,606800,603000,601500,601900,603000,601900,601300,602400,605700,608800,613300,615700,613200,608800,606000,600600,594600,590200,585900,579200,573300,569800,566800,561300,556300,555100,557000,559300,561300,563700,566400,567800,567700,566000,561800,558700,558300,555000,550900,552900,558300,562200,565300,569000,570800,571200,573700,578100,581800,586700,588200,584000,577700,574000,571900,573600,576700,578100,577900,579600,582100,584200,587800,592800,595100,594400,595200,597900,600700,604400,609800,613500,617000,624100,634400,642400,646600,650700,656700,661700,665900,671000,674900,679400,688200,697000,700200,698400,700000,705600,709900,712400,717700,725600,735200,746500,753600,757400,764800,779400,792400,796800,796100,794800,795500,799600,805800,810900,815100,818600,824300,831700,841000,852100,862800,867800,870500,874100,876600,872600,869300,871400,872800,870900
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,145400,144900,144400,144000,143600,143500,143500,143600,144200,145100,145800,146400,146600,146600,146500,146600,147000,147500,147500,147500,147900,148700,149600,149900,150400,151100,151400,151500,151900,152300,152700,152800,152600,152600,152900,153300,153900,154500,154900,155500,155700,155700,156100,157000,157700,158600,159900,161300,162200,163200,164200,165000,165500,166300,167500,168600,169400,170600,171700,172500,173600,175000,176500,178000,179900,182000,183900,185800,188000,189800,191400,193200,195000,196900,199100,202200,205600,209100,212400,215500,218700,221900,224600,227100,230000,233500,237200,240400,243100,245400,248300,252200,255900,259400,263200,266800,270500,274900,279800,285000,290000,295100,300200,305300,310400,316200,323100,330800,339100,347300,354800,362100,369800,377300,384200,390600,396100,401100,406900,413400,419600,424000,427000,429800,432800,435500,437700,439400,439800,439500,440300,442100,442800,442000,440200,438800,437300,434600,430300,425600,420300,414800,407600,398800,388700,378300,367800,357800,348200,338600,328900,319200,309900,301500,293000,283700,274800,268400,263500,258500,254200,252300,250800,248800,249500,250500,248000,243600,241300,240300,239700,238800,237000,234800,233500,232300,229600,227100,227500,230100,232000,231500,229900,229100,229200,228700,227700,227500,229000,230900,232300,233000,233600,235400,238600,241800,243300,243700,244600,247000,249000,250700,253300,256800,260100,262600,264600,266800,268700,270900,274000,276600,279400,282200,285200,288400,291700,295000,298500,301600,304300,307000,309400,311200,312400,314100,316900,319900,322800,325500,327000,327600,328500,330400,333800,337000,338400,338700,339100,340700,343200,345000,345300,345900,348000,351200,354100,357100,359000,359300,359000,358300,357300,358200,361000,364300,367500,370900,373500
978,"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,126700,127500,128100,128600,128900,129100,129600,130300,131000,131800,132700,133500,134100,134600,134500,134300,134300,134700,135400,136400,137400,138300,139500,140700,142000,143300,144700,146300,148200,150100,151300,151900,152400,153300,154400,154800,154600,154300,154400,154600,154800,155000,155400,156400,157800,159200,160300,161000,161400,162200,163700,165200,166300,167000,167300,167400,167700,168300,168700,169200,169900,170600,171300,172300,173100,173500,173800,174800,175700,176300,176900,177500,177700,177400,176700,175900,175400,175300,175800,176100,176100,175900,176100,177400,179500,181800,183700,185500,187200,188900,190100,190800,191300,191700,192300,192800,193300,193900,194600,195200,195900,196500,197100,197300,197400,197500,197600,198000,198800,199300,199500,199900,200300,200400,200900,201800,202600,203200,203300,203400,203700,204300,204400,204400,204300,204400,204700,205200,206200,207300,207100,205300,202900,201400,200300,199100,197900,197100,196000,194800,193600,192300,190800,189600,188600,187400,185700,183700,182400,182000,181900,181800,182000,181800,182900,184800,185500,184700,184500,185300,186000,185600,184700,183500,182200,181800,182100,182300,181800,181000,180500,180600,180500,179800,178900,178700,179100,179700,179700,179600,180400,182400,183800,183600,183000,183100,184100,184600,184200,184300,184800,185000,185700,187300,189100,190600,191200,191700,192900,194700,196200,197100,197600,198600,199600,199600,199400,199400,200200,201500,202800,203700,204800,205800,206800,208000,209500,211300,214600,219600,224200,227300,229700,232200,234300,237000,240200,243100,245900,249000,251800,254000,257800,262500,265600,266900,268900,270500,271100,271500,273200,276000,278200,279600,280800,282300,282700,284100,286800
1347,"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379000,391100,400900,409000,418300,430700,438300,441000,447100,458400,466800,472100,477300,482800,488200,494900,502000,509200,512100,513700,518500,527100,534600,544100,554100,564600,576900,590100,602300,613400,619300,621000,623500,629300,633800,636800,637200,635600,633200,631800,630400,628700,624600,617900,612000,609400,609000,609100,609300,610400,611700,610100,607600,607200,605900,601900,596500,590600,582000,572500,564300,558500,554200,550500,545100,538600,532700,527900,524500,523800,524600,524500,524500,523000,519800,516800,516800,519400,523100,526100,528400,528300,526100,525900,526500,525300,522800,521600,521600,519900,516200,512500,510900,510600,510700,509500,507900,507800,509100,509500,509100,508900,509900,513400,516900,515900,514400,515900,518200,518400,518400,518900,520100,523000,526900,529400,529900,532000,536000,540200,543900,549800,558300,567500,573400,573900,571500,570700,573000,578000,584900,588900,588900,590800,595600,598000,598400,602300,608900,614700,618600,621600,624000,626900,631000,635300,638700,641900,646300,651500,658300,665300,671600,676000,682800,692500,701400,704100,702900,705800,712800,718000,720600,721900,724600,732900,736000,731700
2832,"Riverside","CA","Riverside","06","065",10,153200,152600,151700,150800,150200,149600,149100,148900,149100,150400,151800,152400,152300,152000,152500,154000,155300,156300,157200,158100,159700,162200,164700,166900,168400,169100,169300,169100,169100,170000,171500,173100,174500,175500,175800,176300,177800,180500,183000,184800,185700,186900,188400,189400,190000,190700,192200,193600,195000,196400,198300,200700,203000,204200,205400,207700,210300,212000,213900,216000,217700,219000,220900,222900,224900,226500,227600,228700,230500,232700,235300,238300,241700,244700,247300,250100,254300,259300,263500,267300,271600,276300,280400,283900,287500,291900,296600,300900,305000,310100,316100,322700,329600,336700,343400,351100,360100,370200,379900,389300,398300,407100,415200,420800,423600,426100,429400,432400,435200,438200,442500,447600,452600,456900,462000,467600,472900,477500,482300,487000,490900,493200,494400,495100,494700,493000,490900,488500,486400,485100,483300,479600,474700,469300,464400,460000,454700,448100,440200,431300,422300,413600,404300,393800,383100,373100,363000,353400,343900,333900,324100,315900,307500,298300,288700,281100,275000,269800,265600,261700,257600,254400,252500,251100,249500,248700,249600,251100,252700,253900,252200,248800,247300,246700,245800,245900,247000,247700,247900,248100,247500,245400,242000,239200,237200,236600,236700,237100,238500,240300,241300,242200,242500,242100,243400,246100,248700,251100,253800,256500,260200,264400,268800,273400,279000,285900,294900,304200,312100,318600,324500,328400,330400,331500,333000,334500,335500,336800,338200,339400,340200,341300,342700,344100,344900,345300,345900,346700,348100,350800,353500,355400,357200,359300,361400,361800,361500,362400,364300,365600,367300,369200,372900,377300,380000,380700,382300,384400,386000,386400,386600,387000,388500,391500,394500,397000,400100,402800,404500
