RegionName,State,Metro,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
Cook,IL,Chicago,128700,129000,128900,128600,128400,128400,128500,128800,129000,129300,129800,130100,130100,130000,129900,130100,130300,130800,131300,131700,132100,132700,133400,133700,133600,133800,134100,134600,135000,135400,136000,136700,137200,137600,138400,139100,139900,140900,141700,142300,143200,144200,145200,146200,147200,148400,149900,151400,152600,153700,154700,155800,156900,158100,159200,160600,162300,163900,165100,166300,167700,169200,170500,171600,172600,173900,175600,177100,178500,180000,181200,182600,183800,184300,184400,185100,186600,188200,190000,191700,193400,194800,196500,198700,200900,204200,208800,212900,215000,215800,215400,214900,214900,215500,216300,216900,218000,219100,220100,221500,223500,225300,226900,228500,230300,232000,233600,235300,236900,238400,239900,241400,242900,244600,246500,248400,249700,251100,252600,254000,254900,255400,255600,255800,256200,256300,256900,257700,258200,258600,258900,258900,258200,257300,256200,255300,254600,254200,254000,253600,252700,251200,249700,247700,245300,242800,239900,236900,234800,233000,230900,228200,226400,225100,223700,222100,220300,217700,215300,213300,211700,210600,209900,209400,207900,205900,203600,201500,199900,199200,197800,195700,193600,191900,189700,187200,185300,184400,183500,181800,179300,176900,175000,173100,170900,168900,167200,166100,165200,163800,162700,162200,162300,162800,163600,164500,164800,164100,163400,163300,163600,163900,164200,164800,166300,168400,171400,173900,175300,176500,178000,179200,179800,180600,181100,181500,181700,182000,182100,182500,183700,185100,185900,186300,186300,186000,186300,187800,190000,191400,192000,192800,193900,195000,195600,196100,196300,196000,196300,197700,199400,200100,200700,201300,202000,202700,203900,204900,206700,209100,211100,211700,211900,212200,212600,213400,214400,214700,214400
Du Page,IL,Chicago,161200,161000,161200,161500,162100,162700,163000,163300,163800,164500,165400,166300,167000,167500,167800,168100,168600,169000,169300,169500,170000,170600,171300,172000,172700,173400,173900,174200,174400,175100,176400,177800,179000,180100,180900,181500,181900,182300,182900,183700,184400,185200,186300,187400,188400,189100,190100,191600,193100,194500,196100,197600,199100,200400,201700,202900,204100,205300,206600,208100,209600,211300,212900,214500,216100,217800,219300,220900,222500,224300,225500,226600,228000,229800,231500,233200,234800,236400,237900,239400,241100,242700,244500,246300,247900,249200,250500,251800,253300,254500,255800,257200,258600,260100,262000,263800,265600,267500,269800,271900,273900,276100,278200,280200,282300,284800,287400,289800,292000,293800,295500,297900,300200,302200,304300,306700,309000,310700,312000,313300,314900,316200,316800,316900,317400,318500,318800,318400,318300,319000,319400,319500,319600,319300,318600,317600,316000,314100,312600,311400,309900,307700,305500,303100,301000,299300,297500,295300,293800,293100,292800,291700,289500,286900,284100,280800,277600,274600,272100,270100,268900,268300,268100,267400,265400,263100,262200,261200,258600,255400,252600,249900,246800,243000,239300,237300,237500,238000,237300,236400,235800,234800,232900,230900,229600,228500,226400,224000,222500,221200,219200,217800,218100,220100,223300,227000,229000,229300,229900,231200,231200,231100,232400,234700,236500,238000,239600,241600,243300,244700,245300,245600,246500,247700,248700,250100,251900,253400,254400,255100,255200,255400,255600,255300,254800,255000,256000,257400,258800,259700,260000,259500,258900,258800,259600,260500,260800,261000,262100,262900,263900,264700,265000,264900,265700,267900,270500,272400,274500,276600,277100,276100,275100,275000,275700,276300,277600,279300,280500
Lake,IL,Chicago,170700,170400,169800,168800,167800,167100,167000,167500,168000,168600,169200,169600,169900,170400,171000,171600,171800,172200,173300,174600,175400,176200,177100,177800,178000,177900,177700,177900,178200,178700,179400,180000,180600,181200,181900,182500,182900,183000,183000,183300,184100,184500,184800,185500,186700,187800,188900,190100,191400,192500,193900,195500,197100,198700,199600,200200,201500,203300,204600,205500,206700,208300,209800,211100,212600,214500,216500,218000,218900,219800,221100,222700,224000,225200,226900,228800,230900,233100,235000,236500,238000,239300,240500,241700,242800,244100,245500,246800,247400,247900,248700,249300,249600,250400,251300,252400,254000,255800,257300,258900,260800,262600,264200,265600,266900,267900,269000,270300,272000,274000,275600,276600,277700,278500,279300,280900,282300,283300,284200,285000,285300,285200,285300,285700,286100,286100,286300,286800,287000,286900,287200,288000,288000,287100,286200,285000,283500,281800,280100,278100,275600,273200,271200,269000,266500,264400,262700,260300,257200,254500,252200,249900,248400,247600,246500,244400,241500,238000,234700,232800,231600,230700,230000,229200,228900,229000,228400,226200,223600,222000,220400,218300,216700,215000,212500,210500,209400,207600,204800,203900,205400,205600,204500,203600,202000,199900,199200,199100,197700,195900,195000,194800,194600,195400,196400,197100,197600,198100,198500,198300,197200,195900,195400,195500,196400,198400,200800,202800,204800,206800,208300,209200,210700,212900,214400,214900,215100,215100,215000,215400,216400,217100,217000,217100,217700,218400,219500,220900,221600,221400,220800,220900,221400,221500,221600,222100,222600,223100,224200,225500,226700,227700,228000,227600,227700,228900,230200,231100,231800,232600,233200,232600,230700,229900,231300,232500,232700,233000,233500
Will,IL,Chicago,131900,131600,131700,132000,132500,133000,133500,133900,134300,134900,135200,135200,135900,136600,137000,137000,137300,137500,137600,137800,138200,138600,139000,139200,139300,139400,139400,139400,139400,139300,139400,139600,140000,140300,140900,141900,142700,142900,143100,143600,144300,145000,145400,145900,146700,147700,148800,150000,150900,151400,151900,152400,152600,153100,153700,154400,155100,155900,156800,157700,158500,159400,160200,160800,161600,162600,163500,164300,165100,165900,166600,167200,167900,168600,169500,170600,171400,172100,172900,174100,175400,176800,177800,178400,178900,179900,181400,182600,183300,184100,185300,186500,187300,188100,189000,190100,191100,191900,192700,193800,195500,197100,198500,199900,201400,202600,204000,205600,207500,209600,211400,213100,214900,216700,217800,218700,219500,220400,221500,222600,223500,224500,225200,225800,226000,226300,226700,226800,226700,226700,226700,226500,226300,226000,226000,225800,225200,224300,223500,222600,221600,220300,219000,217700,216500,215300,214000,212500,211200,210500,209700,208100,206700,206200,205700,203800,201300,199500,197900,196500,195600,195100,194700,194300,193800,193100,192400,191500,190600,189700,188400,186300,183900,181000,178200,176400,176200,175600,174000,173300,173000,171500,169500,168900,169100,168900,168400,168000,166200,163700,161700,160800,160700,161100,161800,162600,162700,162500,162900,163400,163600,163500,163800,165300,167200,168700,169700,170300,170900,172200,173800,174500,174900,175500,176500,177300,178200,179500,180600,181000,180900,181000,181000,180600,180700,181600,182600,182500,181900,182100,182700,183400,184000,184800,185800,187200,188700,189700,190500,190700,190700,191300,192300,193300,194600,195700,196200,196900,198500,200700,202900,204300,204700,204900,205600,206700,208500,209900,210600
Kane,IL,Chicago,,,,,,,,,,,,148800,148800,148400,148000,147900,148200,148600,149000,149500,150100,150600,150900,151300,151700,152000,152200,152500,153000,153200,153300,153400,153800,154200,154700,155200,155900,157200,158700,159800,160300,161000,162000,163000,163700,164700,165600,166200,166700,167800,168900,169700,170500,171600,173100,174500,175700,176700,177700,178300,178900,179600,180300,181400,182700,183700,184300,185000,186000,187000,187900,189100,190500,191800,193100,194100,194800,195700,196800,198000,198900,199800,200700,201800,202800,203500,204300,205200,205900,206400,207000,208200,210000,211600,212900,213800,214700,215800,217200,218700,220400,221900,223200,224700,226000,227400,228900,230900,232800,234000,234800,235700,236700,238000,239500,240700,242100,243800,244800,245600,246500,247100,247800,248300,248400,248600,248800,248500,247900,247600,247700,247700,247700,247500,246800,245600,244400,243000,241400,240000,239400,239200,238500,236900,235600,234900,234200,233200,231900,230600,229600,227900,226500,225600,224300,222000,220300,218800,217500,216800,216600,215900,214700,214000,211000,206300,203700,203100,200900,198500,196800,195700,194500,193100,191500,190000,188800,187600,185800,184200,182900,181100,178600,176000,173700,172000,170800,169900,169200,168600,167900,167100,166700,166800,167000,167200,167400,167900,168500,168800,169200,169900,170900,172000,172600,172800,173600,174900,176500,178300,179400,180200,181200,182100,182800,183700,184700,185600,186500,187500,188400,189000,188800,188500,188900,189700,190400,191400,193300,195800,197500,198000,197800,197900,198300,198500,198900,200100,201000,200800,201200,202300,203500,204200,204800,205800,207200,208700,210500,212700,214500,215600,216300,217000,217500,218200,218800,218500,217800
McHenry,IL,Chicago,151500,151300,151300,151500,151500,151400,151300,151300,151500,152100,152500,152600,152600,152600,152500,152200,152100,152500,152900,153100,153300,153600,153900,154300,154500,154400,154600,154900,155300,155500,155700,155700,155800,156100,156800,157100,157400,157600,157900,158400,159000,159200,160000,161400,163000,164100,165000,165900,166900,168100,169400,170600,171600,172700,173700,174600,175500,176100,177000,178300,179800,180600,181000,181300,182100,183300,184200,184900,185900,187400,188700,189400,189900,190800,191900,192800,193700,194600,195400,196600,197800,198900,199900,201100,202400,203700,205000,206700,208400,210000,211200,212100,212800,213500,214700,215900,217100,218500,220200,221900,223400,224700,226100,227900,229800,231000,232000,233400,235300,236700,237700,238800,239800,240600,241500,242600,243800,245000,245800,246200,246500,246800,246900,246700,246000,245600,245900,246300,246500,246900,247600,247800,247900,247800,247400,246600,246000,245200,244100,242300,240500,238600,236700,234400,232500,231100,229700,228000,225900,223800,221400,218700,217300,217400,217200,215500,213300,211000,209000,207300,206100,205600,205100,205500,203800,199500,195900,194600,193300,192300,191200,189900,188700,187800,186800,184600,182000,180900,180400,179000,177000,174600,172000,169600,166900,164300,162100,161000,160300,159600,158800,158300,157800,157500,158000,159500,161300,162100,161700,160500,160100,160200,160300,160600,162000,163600,165300,166500,167100,168300,169900,171400,172200,172200,172400,173100,173600,173700,174900,176700,178200,178800,179200,180000,181900,183700,184500,184400,184700,185200,184900,184600,184500,184700,184800,185000,185500,186600,187800,189100,190600,191800,192000,191800,192000,193000,194600,196500,198200,199300,200300,201400,202800,204400,205000,204600,204700,205000,205100
Winnebago,IL,Rockford,,,,,,,,,,,86100,86400,86100,86000,85900,86100,86500,86700,86900,86900,86800,87200,87500,86800,85800,85200,84700,84500,85000,85500,85600,85500,85600,86100,86700,86700,86500,86400,86500,86900,87400,88000,88700,89100,89300,89700,90200,90600,90500,90300,90500,91400,92100,92100,92300,92700,93000,93300,93600,93500,93500,93500,93500,93700,94100,94500,94800,95100,95400,95700,96000,96400,96900,97400,98200,99200,100300,100900,101300,101800,102300,102300,102500,103200,103900,104200,104700,105200,105500,105700,106100,106400,106700,107600,108500,108900,109100,109800,110300,110300,110500,111000,111700,112300,112900,113600,114200,115100,116000,116700,117400,117900,118400,118900,119600,120300,121000,121700,122400,122700,122900,123100,123400,123800,124200,124700,125100,125800,126100,125800,125400,125600,126000,126500,126800,126900,127000,127000,126600,126200,126400,126600,126500,126300,125900,125100,124100,123700,123900,124300,124200,123500,122600,121800,121300,120900,120600,120000,119200,118500,117800,117500,116900,116000,115200,114500,113600,112400,111600,111400,111100,110000,108400,107200,106500,105600,104000,102600,101600,100100,98400,97300,97300,97800,97500,96300,95000,94700,94900,94800,94300,94100,94000,93500,92700,91900,91500,91400,91000,90400,90100,90100,89900,89500,89400,89600,89700,89500,89300,89300,89400,89400,89200,89000,89100,89300,88900,88000,87200,86700,86100,85500,85100,85100,85200,85300,85400,85500,85600,86100,86900,87700,88400,89100,89700,90000,90100,90400,91100,92200,93400,94100,94400,94800,95300,96000,96600,97000,97300,97700,98300,99100,99600,99500,99300,99100,99300,99500,99500
Champaign,IL,Champaign-Urbana,,,,,,,,,,,78800,81800,84300,86000,86900,87900,88800,88900,88300,87800,87200,86200,85200,84300,83300,82000,81000,80600,80800,81400,82100,82800,83700,84800,85800,86900,88000,88700,88900,89000,89200,89300,89700,90000,90200,90200,90200,90000,90000,90500,91300,91700,92000,92100,92300,92800,93200,93700,94900,96300,97400,98100,98700,99000,99000,99200,99700,99800,99300,99200,99700,100600,101100,101500,102100,102900,104000,104900,105500,106200,107300,108100,108600,109000,109600,110200,111100,112000,113100,114300,115300,116000,116800,117600,118100,118500,118600,118900,119000,119000,119500,120500,121600,122300,123200,124300,125100,125600,126700,127500,128100,129000,129600,129700,130100,130900,131600,131900,132400,133000,133400,133500,133600,133500,133000,132200,131400,130800,130400,130300,130500,131100,131800,132600,133300,133800,134300,134800,135100,135200,135100,134900,134300,133200,131800,130900,130800,131000,131100,131100,131200,131300,131100,131000,131200,131500,131400,131000,130800,130700,130400,130200,130200,130000,130300,130500,130200,129600,129200,129000,129000,129000,128900,128900,129000,129400,129900,130100,129800,129300,129200,129100,128900,128800,128700,128400,127600,126900,126300,125800,125900,126600,127400,128200,128100,127300,126300,125900,126100,126500,126300,125800,125900,126400,126600,126400,126500,127200,128500,129300,129300,128400,127500,127200,127300,127300,127400,127500,127400,127100,126900,127400,128000,128600,129500,129900,130000,130200,130400,130500,130700,130500,130300,130700,131300,131600,131800,132600,133000,132500,132000,132000,132200,132800,133200,133200,133300,133700,134400,134800,135200,136000,137100,137700,137600,137600,137700,137500,137100
Sangamon,IL,Springfield,83900,84700,85400,85900,85900,86100,86500,87000,87000,86900,87000,86900,86700,86800,87100,87200,87500,87800,87800,87800,87800,88100,88600,89200,89500,89700,89900,89900,90200,91000,91300,91300,91300,91200,91100,90900,90800,90900,91100,91100,91300,91300,91500,91800,92100,92700,93300,93500,94000,94300,94400,95100,96300,97000,97300,97600,98600,100000,101000,101500,102000,102500,103200,103900,103900,102900,102100,102500,102500,101900,101900,102400,102400,102500,102800,102900,102700,102700,102800,103100,103100,103000,103100,103500,103600,103300,103100,102700,102700,103500,104900,105800,106200,106300,106200,106000,106500,107200,107700,108100,108500,108800,108900,108900,109000,109400,109900,110300,110100,109300,108400,108000,108100,108600,108700,108500,108700,109500,110100,110500,111000,111700,112700,113500,113900,113700,113500,113600,114200,114700,114800,114700,114800,115100,115500,115700,115900,116100,116300,116100,116200,116800,117100,117000,117300,117400,117200,117000,116900,116600,117000,117300,117500,117500,117400,117100,116800,116500,116300,116100,115900,115700,115500,116000,114100,110600,109100,109700,109700,109900,110500,111000,111300,111400,111200,110900,111400,112200,112300,112200,112700,113100,113100,113100,113300,113500,113700,113900,114200,114600,114400,114000,113900,113900,113700,113400,112900,112600,112600,112500,113000,113600,113800,114100,114500,114500,114400,114500,114900,115200,115500,115500,115600,117200,119200,119900,119000,118400,118200,118200,118100,118000,117700,117200,116900,116700,116100,115700,116000,116400,116800,117200,117900,118500,119100,119600,120100,120500,121000,121100,120900,120500,120700,121200,121800,122100,122200,122100,122400,122600,122700,122800,122900,123100,123000,122600,121900,121800,121800
Peoria,IL,Peoria,,,,,,,,,,,65600,67300,68800,70100,71400,72300,73300,73900,74100,74100,74200,74000,73800,73600,73100,72500,71900,71700,71600,71800,72400,72900,73400,74400,75700,76900,77300,77500,78200,79300,79900,79900,79400,78800,78700,78800,79000,79400,79700,79900,79900,79700,79400,79300,79600,80300,80400,80200,80500,81400,82100,82500,82500,82200,82000,82000,82400,82700,82700,82500,82200,82100,82400,83200,84100,85000,85700,85900,85800,85700,86100,86700,87300,87100,86500,85900,85900,85800,85800,86100,86900,87400,87700,87800,87900,88100,88700,89300,89900,90500,91000,91500,92100,92400,92400,93000,93300,93500,93700,93800,93600,93900,94500,94900,94700,95000,95700,96200,96800,97600,98300,98700,98700,98400,98400,98700,98800,99000,99200,99600,100100,100700,101100,101200,101600,102200,102800,103200,103700,104100,103600,102400,101500,101200,101200,101800,102500,103100,103500,104100,104600,105000,104500,103500,102800,102600,102400,102500,102600,102200,101800,101500,101400,101100,103000,106200,107900,107600,107700,107300,106600,106500,106800,106800,106400,106200,105900,105300,104600,103700,102800,102200,101700,101500,101300,101000,100700,100800,100600,100600,101200,102000,102500,103000,103200,102900,102600,102600,102900,102800,102500,102100,101700,101000,100400,100300,100600,101000,100900,100600,100400,100500,100300,100000,100400,101300,101700,101400,100500,99500,99100,98900,98600,98300,97900,97200,96600,96600,97100,97800,98800,99800,100600,101300,101700,101300,100900,101100,101700,102300,102900,103300,103400,103200,102600,102200,101900,101800,102000,102000,101900,101600,101000,100400,100300,100200,100000,99900,99700
