GeoName,Description,2011,2012,2013,2014,2015,2016
Illinois,Personal income (thousands of dollars),562292466,587601163,600782652,628783275,652685245,663338023
Illinois,Population (persons) 1/,12860012,12870798,12879505,12867544,12839047,12801539
Illinois,Per capita personal income (dollars) 2/,43724,45654,46646,48866,50836,51817
Adams,Personal income (thousands of dollars),2556329,2652079,2686339,2740518,2804039,2810914
Adams,Population (persons) 1/,67207,67164,66997,67031,66974,66578
Adams,Per capita personal income (dollars) 2/,38037,39487,40096,40884,41868,42220
Alexander,Personal income (thousands of dollars),213208,212129,213134,208617,207939,206981
Alexander,Population (persons) 1/,8018,7712,7215,7074,6776,6478
Alexander,Per capita personal income (dollars) 2/,26591,27506,29540,29491,30688,31951
Bond,Personal income (thousands of dollars),543816,543637,563536,560021,559124,559836
Bond,Population (persons) 1/,17675,17508,17320,17111,16924,16824
Bond,Per capita personal income (dollars) 2/,30768,31051,32537,32729,33037,33276
Boone,Personal income (thousands of dollars),2004310,2078854,2100837,2160188,2217833,2253951
Boone,Population (persons) 1/,54168,53802,53779,53706,53490,53503
Boone,Per capita personal income (dollars) 2/,37002,38639,39064,40222,41463,42128
Brown,Personal income (thousands of dollars),175963,183969,203205,187756,187923,190657
Brown,Population (persons) 1/,6871,6894,6863,6838,6821,6762
Brown,Per capita personal income (dollars) 2/,25610,26685,29609,27458,27551,28195
Bureau,Personal income (thousands of dollars),1286373,1262136,1358414,1292821,1274151,1305629
Bureau,Population (persons) 1/,34660,34350,34096,33836,33471,33359
Bureau,Per capita personal income (dollars) 2/,37114,36743,39841,38208,38067,39139
Calhoun,Personal income (thousands of dollars),180054,174344,184273,175385,177274,180483
Calhoun,Population (persons) 1/,5067,5021,5036,4963,4898,4894
Calhoun,Per capita personal income (dollars) 2/,35535,34723,36591,35339,36193,36878
Carroll,Personal income (thousands of dollars),609840,586616,631532,611045,590793,605052
Carroll,Population (persons) 1/,15221,15075,14939,14786,14628,14539
Carroll,Per capita personal income (dollars) 2/,40066,38913,42274,41326,40388,41616
Cass,Personal income (thousands of dollars),470499,451084,500936,490980,476996,484594
Cass,Population (persons) 1/,13634,13411,13292,13091,12869,12676
Cass,Per capita personal income (dollars) 2/,34509,33635,37687,37505,37066,38229
Champaign,Personal income (thousands of dollars),7661065,7886661,8140161,8550306,8801074,8926464
