"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,330400,328800,327200,325100,322800,320800,320300,321300,323800,326900,329700,331900,333900,335800,337800,340100,342100,343800,345300,347000,350000,353800,357600,361200,364700,368300,371700,374400,377200,379900,383700,388700,392700,393800,395800,399400,402400,405000,408900,413300,416800,420000,423000,427000,431100,434000,435800,438100,439700,440400,440900,442800,446500,451500,455700,458600,461300,465300,470100,475100,478900,480600,481400,483000,484600,487000,490800,495200,499200,504100,508700,512300,516600,522200,529000,537000,545700,553500,559900,566300,574100,582200,590100,598500,608400,618200,626400,634500,643100,651900,660900,670100,679300,689000,699400,711200,726400,743700,760300,774000,785900,795800,804800,813300,821800,829700,838400,848300,858700,870400,883700,897600,910700,922600,933100,943200,952800,960600,967400,973700,976600,978200,981600,985200,986600,989700,993300,994300,990500,987400,986700,985400,984100,983700,981500,977300,973200,968500,961900,952700,942900,933500,923800,910900,895400,880300,865900,851300,839000,830300,822400,813000,804900,800900,796500,789000,779900,771400,765700,763700,763600,764900,767600,769900,774200,778300,779000,776700,776500,776200,774200,770800,767300,760900,754300,753700,755800,754200,751400,749600,747100,745600,745600,743200,738800,735300,732900,730600,726100,720100,716500,720300,729900,739900,747500,755200,759600,759500,761400,767100,773000,778500,787000,799900,814400,824500,831300,838300,847600,858100,865400,869200,872800,878200,883300,887300,888100,888700,891400,896200,902600,909100,915100,920300,925600,932100,939500,944800,949400,952400,953500,955200,957400,961500,967200,972600,976900,982000,985400,985900,985000,984600,984500,984500,987100,992900,998900,1003700,1007700,1011400,1016700,1021900,1023700,1026200,1032100,1038700,1044400,1049000,1052000
139,"Cook","IL","Chicago","17","031",2,260800,262300,262900,263100,263000,262800,262500,262400,262200,262800,263000,263000,263400,264900,266500,267700,268400,269400,269900,270500,271700,273800,275700,277400,279300,280500,280900,282200,285200,287300,288900,289700,291300,293500,295900,297500,300300,303600,305000,304200,303900,306600,310900,314300,316200,318600,321600,325500,327900,328500,328800,330700,332800,335000,338300,342600,347000,351500,356600,361100,364500,366700,369200,371800,373500,375000,377600,380300,382100,383000,383500,383200,382900,383800,386000,388100,390600,393300,396600,401700,406800,410700,415600,422300,428000,434300,443700,454400,461200,460700,454500,449600,448800,449500,449800,451800,455100,457600,458600,459800,462300,467300,473800,479800,484100,486700,488800,490900,493100,496200,499600,501700,504200,508200,512200,515500,518500,522300,527000,529900,531600,533000,535000,537500,539600,541400,544900,548100,549700,550700,551100,550000,549200,548500,547200,544600,543700,544300,543600,540600,537100,533200,530000,526100,522100,519200,515200,509100,505500,505000,503800,500500,498700,499000,498800,496200,492900,489000,484400,481200,479200,475400,471700,470500,468500,465300,462200,459900,458100,455700,453200,450800,446100,442100,438500,434400,431100,429600,427600,425000,419900,413900,410000,408600,407900,406600,404500,403000,402700,402400,400500,399800,401700,403000,403200,405200,406700,406500,407200,409200,410300,410500,411100,412700,416600,423900,431900,437400,440600,443700,447100,449400,449200,449900,452300,453500,452500,452900,454700,456800,459000,460800,461400,461700,460200,457300,455500,459500,467900,475000,477000,475200,473000,471000,469500,469700,471200,469800,469400,471700,473000,471100,470800,471700,472100,471600,471800,472000,475200,479800,482700,482000,480400,479000,477800,475500,474100,474900,476500
2402,"Maricopa","AZ","Phoenix","04","013",3,199700,198200,197800,197800,198200,199400,200400,201100,202100,202600,202100,201900,202300,203000,204000,205400,206200,206700,208200,210200,211900,214000,216100,217900,219300,220900,221800,222500,223100,223800,223900,224400,225600,227100,228700,230800,233000,234600,235200,235300,236200,237200,237300,237700,240000,242700,245000,247100,249200,251300,253800,255800,256500,256700,257200,257900,259100,260800,262600,263600,264100,265200,267000,268600,269900,270900,271500,271700,272200,273300,275100,277400,279600,280500,280700,281900,283800,285300,287100,290400,293800,295500,296100,296700,297700,299700,302300,303800,303900,304200,306300,310000,313500,316800,319900,323000,326500,330500,333900,337600,345200,357200,369000,374600,377600,383900,394700,407500,421300,434900,450000,467100,482200,492600,501400,512200,521000,525400,527400,529400,531000,533200,535800,537400,537600,536500,535300,535100,535500,535000,533200,530200,526800,523300,519200,515200,511300,506800,501500,495400,488200,479400,469600,459900,451400,444400,436800,427800,419200,411400,403500,394600,388600,385900,382300,375800,369000,361800,354900,349300,344500,340600,336800,332900,328500,325000,323100,322000,320400,317900,314000,309700,305700,301100,297700,296700,297100,296600,296100,295800,294100,291500,289700,288900,288600,289000,290200,292200,294400,296600,299200,303300,308200,313800,320100,326300,331500,336500,340400,342800,344700,346800,348700,351800,356200,361600,367400,372900,377300,380500,382800,384600,386100,387400,388500,389300,388800,387800,387200,386900,387300,388200,389400,391500,393900,395700,396700,397500,399000,400600,401000,401400,402300,403700,405900,407700,408800,409600,410700,411700,412500,413200,414000,414100,414500,415500,416900,418800,420700,421000,420900,420900,421800,424000,426700,427800,428300,429600,431200
2841,"San Diego","CA","San Diego","06","073",4,300100,295400,292400,289800,287100,285400,284200,283200,283000,283400,284200,285700,287400,290100,293600,296200,298300,301800,305500,307900,310500,314600,317600,319500,322700,326600,329500,331700,334800,337800,341600,346800,351900,353700,354400,356400,360100,362900,365600,368400,371500,374500,376600,378900,383700,389200,394700,400900,407100,412100,417400,423400,430100,436100,440100,441700,443100,446500,451600,457800,463600,468100,471200,475300,479200,481000,482800,487500,493400,499400,504000,506900,510400,515500,521500,528800,536200,544500,554900,565400,573400,579200,583900,588600,591800,595300,599500,605600,613500,624600,637500,650200,659900,670200,682600,697400,715700,735600,755300,771300,783600,792900,801200,807500,814200,823100,832600,840400,844600,846700,848700,851400,853800,855900,856500,857300,858900,860100,860800,861800,862700,862600,859200,854600,852700,849400,842200,835300,831400,828100,824600,819300,814800,812000,809100,804500,799200,792800,787300,784300,781000,773900,762900,750400,737800,726600,718400,711700,702400,693200,686300,678000,669400,663700,658600,653000,649400,645800,642300,640200,640700,642100,642600,643900,642200,636600,633800,636200,637300,637400,636800,633600,629200,624500,620600,615800,612700,613000,615600,616000,613100,609700,607200,603700,599000,598400,600300,601900,603400,606100,607500,607000,607300,609300,610600,612000,617000,623600,628600,633500,638600,642500,645700,652500,662200,670700,679000,689300,696700,699900,702100,705300,709600,715100,721300,726500,727800,726700,727000,731000,734400,735300,734500,735000,737400,742700,747300,750500,752600,753500,754700,757800,763300,769000,773600,777000,780000,780900,780400,779300,780000,782500,787900,792300,795400,798700,804800,810700,814000,814300,814000,815400,823800,836700,845000,847200,849800,852400,854000
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,308700,307800,306800,306300,306700,307300,307800,308400,310200,313000,314800,313900,312600,313500,316100,319100,322700,326500,329300,332200,335800,340300,343300,352300,,,,365900,373800,374100,376000,378600,382000,385600,387400,387500,387000,389800,393300,395000,396700,400400,403700,406700,409900,413200,417000,420800,423600,426700,429700,431200,432900,437200,441600,445900,450900,456500,460700,463800,466800,469300,469900,472000,476700,481700,485300,489700,495500,500500,504300,508300,514300,522200,530000,536600,544400,554100,564000,572800,580300,588600,598700,607900,614600,621500,630100,638600,647000,656300,668400,681600,694200,706200,719600,735600,754700,773700,791600,809400,824800,835400,842400,847600,850400,855700,863800,871000,877900,886200,893700,900600,908700,918900,930300,939800,946600,951300,956100,962600,967200,968800,968100,965200,961500,958600,954600,949500,945400,943600,943000,941900,939500,934000,927700,922900,916500,905100,894100,886400,882900,877500,866200,849200,834400,823100,815000,807700,802100,797900,794200,788700,786000,781800,772200,761500,754700,749800,748000,748300,748900,748700,746800,745500,736900,725000,720700,724600,726500,728000,726500,723600,720400,716600,713000,711600,710800,710100,708800,707500,705800,702400,695800,688700,681400,675900,673300,672400,672400,675800,681400,683500,682900,683500,686700,689800,694600,702000,708200,711100,716600,725600,736000,747400,759900,771700,780400,786100,793000,803100,811800,817300,820300,821200,821700,825300,829000,830700,832600,836200,838400,839400,840200,841600,844700,848500,851300,853800,856500,859400,863500,868500,871000,870700,872700,878200,884700,888300,891800,895500,897100,895000,895200,897700,901100,903000,905700,909300,914000,919200,919700,915200,915000,919800,924400,930300,937000,941400,944100
581,"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477200,498300,514900,531200,553400,576600,590600,597100,604300,614000,620400,627900,631800,630600,631400,637900,647400,652000,647900,648800,659700,671600,681900,696100,715100,735100,752000,768900,787700,804800,818500,822500,820200,816500,816300,816400,813900,810600,811300,808800,800000,792300,785900,782300,777100,772400,771700,779600,785300,789100,793100,800400,804100,808700,812100,806800,801300,804500,802400,790600,782900,781300,778700,770700,766900,766500,766500,763700,762500,758400,755300,751800,748500,744200,736900,727400,719700,718000,716000,714200,710200,708500,710600,718500,727500,736400,742200,745500,749300,753100,755300,758100,765600,770100,766100,758500,753200,749900,756900,770500,774700,767200,762000,765300,773500,783200,787500,788900,789700,791800,791300,793600,800800,809100,817400,828300,838500,845700,857200,866100,870900,877300,889600,900700,909700,916300,924600,928900,929000,930700,939800,955100,970000,981200,992600,1002700,1010000,1021900,1041400,1060000,1084000,1113000,1135100,1144200,1151200,1152700,1150200,1151000,1160900,1177100,1194000,1205400,1199900,1191200,1200200,1225200,1242000,1252000,1253300,1254800,1263800,1280400,1286500,1289700,1295100,1302500,1306200
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526300,518800,512700,507400,497000,487000,484600,487200,487100,484700,481200,481200,486100,487100,482600,480500,479600,476800,478300,482200,484100,489100,497100,501400,502800,504600,505300,508700,515900,520200,522300,532200,544700,548600,548200,547600,544400,540500,544300,551700,554700,555900,560400,568400,573000,574200,577700,585500,591000,596600,605100,611600,611100,609600,610700,610200,609700,614500,620200,625700,632900,639900,644500,646700,643400,637900,634800,634700,636600,640500,643700,647800,655000,660600,663400,666500,666900,661900,656600,653700,653800,657600,662400,667000,674500,684900,694000
978,"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,212600,211600,211900,212100,212300,213000,213600,213900,213900,214100,214900,215900,216300,216600,216700,217700,219600,222000,224100,225200,225300,225900,227100,228700,230800,233000,235000,237800,241200,244600,247100,249500,251800,253600,254500,254700,255400,256400,256900,257600,258500,259100,259800,261500,264600,268600,271300,272400,273700,276000,279000,281200,283400,285200,286500,287000,287400,289000,292000,294700,296100,297000,299000,301900,304200,305000,305300,306100,307600,308600,308400,308100,308900,310000,309600,307500,306500,307300,308900,310100,311100,312000,315000,320200,324500,326800,329100,330800,330500,330200,331500,333500,333900,333300,333600,334300,335200,337000,339600,341800,343300,344600,345600,346400,348000,349700,350100,351000,353500,355500,355800,357700,361200,364300,366500,369500,371800,373700,375200,376100,377200,378800,380400,381700,382800,384200,386200,387800,389300,390600,389400,385500,380500,377400,375700,374300,372900,371500,369600,367900,366700,365400,364000,362200,360400,358800,356700,354000,352000,351400,351200,350900,351200,350800,352300,355700,357200,355400,355100,356600,356000,352800,349800,348700,348300,348400,350000,352200,353200,351800,348500,346200,346200,347000,346800,345100,343400,343100,342600,342300,344600,349300,353200,354600,353900,353600,354500,354600,353700,353900,355100,355900,356900,359800,364000,367900,370600,373000,375200,377300,378900,379700,380100,380400,381400,381900,381100,380700,383100,387300,392100,396600,400200,402300,403100,402900,402900,404800,411100,419900,427000,430900,433100,436200,440700,444700,448800,454600,460600,464600,465800,466100,470400,477000,480200,481900,487100,492500,493400,492600,494700,500100,504500,506000,505200,504500,505600,507300,508300
1347,"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427900,443100,457800,470200,482400,496400,505300,510100,517800,529400,538300,545300,550300,555800,562300,570400,579500,589900,595600,599200,605500,614500,624100,636100,647900,659300,672400,687300,701100,711800,719200,723000,726100,729400,731600,732100,731900,730600,729900,729000,726500,723500,719400,714700,709100,703600,699300,699800,702300,707100,711400,713400,715100,717800,718600,717500,714900,710600,705700,699100,691100,686600,683700,678500,672500,666400,659100,650900,645300,644300,646700,648500,651700,643300,626700,616000,615800,617500,622500,629000,634000,637800,639500,637300,633300,630900,629500,627800,627800,628100,624700,618200,613800,611200,606400,602800,602400,606100,610300,614400,614900,614200,615900,620100,620300,616200,614700,616900,619500,621800,623500,622500,621400,622100,623600,626400,632200,638100,643000,646700,648700,653100,665100,678000,683900,684500,685400,688400,692100,698800,708400,716000,716600,717300,722100,725100,724800,729300,737200,744300,751700,758300,764300,772200,782300,788300,791500,796900,805200,813200,821300,830000,837300,841300,846500,856200,865200,871800,878900,887000,896000,905500,910000,906800,905900,912200,914100,910500
2832,"Riverside","CA","Riverside","06","065",10,192700,189400,187200,186100,184800,184100,185400,188800,193300,197300,199900,201200,202600,203700,205600,206400,206000,207900,212700,216000,218700,222000,224300,226200,227700,227600,226400,226000,228100,231300,232300,232600,234000,235500,236400,238600,243000,248400,252600,256000,258900,259800,259800,259400,258600,258600,260500,261300,263300,267600,271100,271600,271300,271200,271200,271900,272900,274200,275900,279300,284500,290400,294000,298000,302800,305400,305200,304100,303900,304900,307600,311300,314000,314400,316100,319200,322800,327900,335100,343600,351500,358100,362300,365600,367800,371100,376400,383200,389800,396000,401100,406700,414800,424400,433100,441600,450400,460500,470900,481700,492900,504400,515100,524200,528400,529600,533000,538000,541400,545400,553200,562600,569400,573200,577700,584800,593700,600600,604100,605700,608500,609800,608800,606800,605300,603700,602000,598200,592700,587500,584100,580300,575500,569000,562000,555300,548100,539100,529200,519200,508000,496200,484400,472100,459300,446300,432400,418300,405700,394100,382700,371500,361900,354500,347800,341500,335700,329900,325900,322800,319900,317800,316600,316000,316000,316800,318000,319700,321600,323800,323200,320500,317500,316100,316300,317100,317200,316300,315100,314400,313400,310900,307100,303400,300700,299800,299900,300700,301900,303300,304500,305000,304600,305000,307500,311100,315000,318700,322200,325500,329000,332600,337400,343000,349500,358200,368300,377600,385500,391500,395400,398800,401900,403800,405200,406400,407600,408700,410300,411500,412800,414000,414800,415900,417200,418000,419300,421300,423200,425300,426400,427100,428400,429900,431500,432200,432200,432800,434100,435800,438000,439700,443400,448400,451000,451700,453400,454200,454600,455400,455500,455400,458300,462000,465100,468700,474000,477100,478500
