RegionName,State,Metro,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
Cook,IL,Chicago,108600,108500,108500,108600,108600,108600,108500,108900,109600,110100,110300,110700,111100,111100,110900,111100,111400,112000,112500,112900,113100,113500,114100,114500,114800,115400,116200,116900,117500,118100,119000,119500,119800,120200,121000,121800,122700,123400,124300,125400,126500,127600,128900,130000,131200,132400,133900,135600,137200,138900,140500,141600,142400,143100,144100,145700,147700,149400,150600,151700,153300,155500,157800,159800,161400,162600,163500,165000,166800,168600,169800,171200,171900,171400,170600,170600,171200,172700,174700,176100,176900,177500,178500,180200,182100,184700,187800,189900,191000,191400,191000,190500,190300,190400,190600,191300,191900,192500,192700,193400,195000,196900,198100,198900,200200,201500,203000,204100,205200,206500,207900,209300,210700,211700,212600,213500,214000,214800,215900,216300,216400,216400,216500,216800,217100,217000,217300,218100,218600,219000,219300,219300,219400,219300,219100,219200,219200,219100,219200,219300,219700,219900,219600,218700,217500,215600,213600,212100,211400,210500,209300,207600,207200,207300,206800,206000,205000,202700,200700,199300,198100,197700,197300,197300,195200,192100,189200,187200,185500,185100,184400,181900,178700,177500,176900,174900,172900,172300,171400,169600,167500,165700,163600,161400,159200,157100,154800,153100,151700,150500,150000,149400,149100,149200,149100,148700,148700,147600,146600,146900,147100,146200,146200,147500,148900,150200,152500,154900,156400,157300,157900,158000,158500,159000,159200,159000,158700,158400,158800,160000,161600,162700,163200,163800,164200,164400,164500,165400,167200,168700,169000,169400,170000,170800,171200,171300,171100,170800,170700,171600,173200,174000,175000,176200,176900,177700,179800,181500,183400,185800,187300,187500,187400,187900,189100,190400,191600,191600,190800
Du Page,IL,Chicago,101300,101500,101800,102100,102400,103000,103700,104200,104300,104800,105400,105800,106100,106600,106800,107100,107400,107600,107300,107300,107800,108700,109400,109600,109900,110200,110200,110200,110200,110500,111100,111900,112400,112800,113200,113400,113700,113700,113900,114300,114800,115300,115700,116200,116600,116900,117400,118100,118700,119300,120100,120900,121800,122200,122700,123300,124000,124700,125400,126100,126800,127800,128700,129600,130200,130900,131600,132600,133400,134000,134800,135700,136500,137300,138300,139500,140600,141800,142900,144100,145200,146400,147400,148500,149700,150900,151700,152200,152700,153200,153900,154400,155100,156000,156900,158000,159000,160000,161100,162500,163900,165100,166100,167000,168200,169600,170600,171300,172100,172800,173500,174100,174900,176000,177100,178100,179200,180200,181100,181900,182400,182800,183100,183200,183400,183600,183800,183800,183700,184000,184600,185200,185600,185600,185500,185400,185200,184900,184600,184200,183400,182300,181000,179800,178800,177600,176400,175000,173700,172600,171800,170500,168900,167400,165700,163300,160800,159000,157500,156200,155200,154800,154400,153800,151700,149300,147900,146800,144600,142500,140800,139000,137000,134600,132300,130800,130300,129900,128900,127900,126800,125500,123300,121100,119700,118800,117100,115200,114100,112900,111300,109900,109600,110000,110900,111900,111800,110400,109600,109600,109300,108800,108700,109100,110000,110700,111000,111600,112200,112800,113200,113400,113800,114600,115300,116400,117400,118500,119800,121100,121900,123000,124000,124600,125300,125900,126700,127600,128200,128600,128700,128100,127500,127600,128200,128400,128300,128600,129300,130000,130600,130900,131000,131600,132700,134000,135000,135800,136900,138100,138900,138800,138800,139300,140500,141300,142000,143000,144100
Lake,IL,Chicago,127500,126600,125600,124900,124300,123700,123200,122900,123000,123100,123200,123300,123300,123500,123500,123600,123900,124200,124500,125100,125700,126200,126600,126800,127000,127600,128100,128500,129300,129900,130200,130600,131000,131300,131800,132400,132600,132400,132300,132300,132500,132800,133100,133500,134200,135100,135800,136400,137100,137900,138600,139700,140900,141800,142800,143900,145100,146400,147500,148000,148500,149300,149700,149600,150100,151200,152500,153800,155100,156200,157200,158500,159600,160700,162700,165200,167100,169100,170500,171400,172300,173200,173800,174200,174600,175200,176100,177700,178900,180000,180700,181000,180800,181500,182700,184100,185500,186900,187700,187700,187800,188400,189500,190100,190500,191100,192100,193100,194900,197200,198800,199300,199800,200000,200400,201800,203100,203500,203700,204200,204500,204700,205000,205700,206000,205800,205300,205000,205000,205000,205300,205700,205200,203700,202300,201600,200700,199500,198300,197300,196100,194600,192900,191000,189100,187600,186300,184500,182200,180300,178600,177000,175700,174600,173100,171700,170000,167900,165900,164400,162800,161500,160600,159600,158700,158400,158100,157000,155300,153900,153000,151700,150700,149600,147900,146000,144700,143200,141000,139300,138700,137400,135200,133500,132200,130700,129300,128100,126500,124400,123000,121900,121400,121300,121100,120800,120800,120700,120900,121000,120300,119400,119000,119100,119300,120300,121600,122300,122300,122400,122600,122800,123700,125200,126300,127200,127900,128300,128500,128900,130100,131700,133200,134500,135600,136200,136900,137600,138000,138000,138100,139000,140200,141000,141600,142200,142700,143100,143700,144400,145000,146000,146900,147400,147800,148600,149300,149800,150500,151300,152000,152100,151500,151800,153400,154800,155500,155900,156000
Will,IL,Chicago,106500,106700,107100,107800,108500,108900,109200,109600,110000,110200,110900,112000,113000,113400,114000,114200,114400,114600,115000,115500,115600,115900,116200,116500,117200,117600,117500,117900,118600,119100,119500,119600,119700,120100,120600,120900,121200,121800,122100,122200,122400,122800,123000,123900,125000,126000,126500,126900,127100,127300,127200,127400,128000,128700,129200,129700,130500,131200,131900,132600,133000,133200,133400,133800,133900,134200,134600,135000,135700,136600,137500,138500,139400,140100,141300,142400,143100,143800,144400,145000,145900,147000,147800,148200,148700,149500,150300,150800,151000,151200,151800,152500,152900,153200,153900,155100,156300,157300,158300,159700,161300,162700,163900,164900,165900,166500,167200,168200,169300,170400,171300,172100,172900,173700,174700,175700,176600,177500,178300,178700,179000,179600,180100,180400,181000,181800,182000,182100,182200,182600,183000,182700,182300,182000,181400,180700,180300,179900,179600,178700,177700,176900,176000,174800,173600,172700,172000,170700,169000,168100,167200,165700,164900,165000,164600,163100,161100,159200,157700,156400,155600,155100,154800,155100,153400,150000,147800,147700,147200,146500,145500,144000,141800,139400,137100,135100,134200,134000,133300,132600,132000,130300,128600,128300,128200,127000,125700,124300,122200,119400,116500,114300,113100,113200,113700,114100,114200,114100,114200,114800,116100,116700,117400,118700,120700,121800,121800,121800,121900,122100,122500,122300,122300,123100,124200,124600,124900,125200,125700,125900,126000,126200,126400,126500,126500,126900,127500,128100,128700,129700,130800,131400,131900,132400,133000,134000,135000,136000,136900,137000,136400,136300,136900,138000,139200,140500,141500,142500,144300,146600,148400,149300,149600,149500,149500,149600,150600,152200,153500
Kane,IL,Chicago,,,,,,,,,,,,115100,115800,116000,116000,116200,116400,116300,116100,116000,116300,117000,118000,118400,118400,118700,118900,118800,119000,119400,119700,119800,120000,120400,120500,120300,120600,121700,122900,123600,123900,124000,124200,124500,124800,125400,125500,125300,125400,125800,126000,126800,127900,128900,130100,131700,133000,133600,134400,135200,136000,136800,137900,139200,140700,142000,143300,144400,145500,146400,147200,148200,149100,149900,150600,151200,151500,152100,153000,153600,154200,155300,156600,157900,159300,160100,160900,161600,162300,163000,163700,164600,165800,166800,167500,168200,168500,168900,169900,170700,171600,172700,173600,174400,175600,176900,177900,179000,180000,180700,181100,181600,182200,182700,183600,184900,186200,187100,187800,188700,189700,190400,190900,191200,191300,191200,191000,190400,189900,189900,190300,190500,190700,190500,189600,188800,188100,187500,186500,185100,184000,183900,183400,182100,181200,181000,181000,180600,180000,178700,177300,175600,174400,173100,171400,169100,167100,165400,164500,163800,162700,161400,160500,160200,157600,153200,150200,149100,147600,146100,144400,142500,140700,138800,136500,134000,132200,130500,128900,127400,125600,122700,119700,117400,115900,115100,114700,114500,114600,114200,112800,111300,110300,110000,110000,110100,109600,108500,107400,106700,106500,106900,107700,108600,109100,109200,109100,109000,109400,110400,111500,112000,112600,113500,114500,115200,115700,116800,118300,119900,121200,121900,122000,122000,122000,122300,123100,124100,125200,126500,127300,127700,127800,128300,129200,129900,130900,132200,133100,133100,133300,133600,134100,134700,135500,136400,137300,138200,139300,140400,141400,142200,143100,144100,145300,146200,146900,147500,148100
McHenry,IL,Chicago,111300,109500,108400,108000,108000,108000,108100,108300,108700,108900,109100,109600,110400,110700,110800,110500,110000,109400,109100,108600,108000,107600,107400,107300,107300,107400,107800,108200,108700,109000,109200,109500,109900,110200,110500,110900,112000,113000,113600,113500,113600,113500,113600,114100,114900,115300,115700,115900,116100,116100,116100,116100,116600,117200,117900,118500,118900,119200,120000,121200,122200,123000,124000,124800,125500,126600,127700,128500,129100,130200,130700,130700,130700,131100,131900,133500,134700,135300,136000,137100,137800,138400,139100,140100,141500,142900,143800,144600,145900,147200,148000,148700,149400,149700,150500,151500,152000,152600,153600,154300,154800,155700,156900,158000,159600,161300,162700,163900,165200,166200,166700,167300,167800,168400,168800,169200,170000,171000,171600,172000,172500,172900,172900,172400,172000,171700,171600,171700,171800,171700,171500,171500,171700,171800,171600,170900,169900,168900,167700,166800,166100,164900,163400,161600,160000,158700,157800,157100,156200,155200,154500,153300,151400,150000,148800,147500,146100,145000,144400,143800,142800,141300,140100,140100,139600,138000,136500,135500,133900,132100,129800,127300,125200,124200,123900,122600,120600,119300,118300,116700,115000,113200,111700,110300,108800,107000,104400,101400,99400,98100,96700,95100,93600,92300,91100,90500,91100,91300,90500,89500,89200,88900,88500,88300,88900,90100,90900,91000,90700,91000,91800,92300,92200,92400,93200,94400,95800,96700,97600,99200,100900,100700,100000,100500,101800,102400,102500,103400,103800,103600,104000,105200,105500,105700,106600,107500,108300,109400,110600,111400,111900,112200,112600,112700,112800,113500,115100,117200,118200,118300,118800,119500,120300,121200,121700,121500,121900,123000,124000
Winnebago,IL,Rockford,,,,,,,,,,,94900,95700,95700,96000,96500,96900,97400,98000,98000,97700,97100,97200,97600,97200,96200,94900,93500,92700,92800,93200,93500,93800,94100,94600,95300,95900,96000,96100,96100,96500,97200,97500,97600,98100,98400,98700,98800,98700,98500,98500,98400,98500,98700,98900,99300,99400,99600,100000,100400,100700,101500,102200,102000,101700,102100,102400,102500,102400,102200,102100,102400,102600,102800,103200,104200,105700,106800,107500,108000,108400,108800,109000,109400,110000,110400,110800,111400,111800,112000,112500,112900,113400,114100,115100,115800,116200,116500,117000,117300,117300,117200,117100,117700,118600,119400,119900,120600,121500,122000,122300,122800,123600,124400,124900,125300,125600,126400,127300,128000,128300,128100,127900,128000,128400,128800,129200,129600,129700,129700,129800,129700,129500,129600,130000,130100,129600,129100,128800,128500,128000,128200,128900,129000,128500,128300,127400,126100,125300,125500,125700,125100,124000,123300,123000,122600,122200,121900,121600,121100,120700,120200,119600,118800,118000,115100,111300,109100,108500,107700,107000,106200,105000,103700,102500,102400,102400,101600,100100,98600,96800,95300,95300,95800,95700,94700,93300,91600,90900,90800,90700,90100,89500,88600,87700,86900,86700,86700,86600,86200,85700,85700,86200,86300,86200,86600,87000,86700,86300,86200,86300,86500,86200,86200,86100,86400,86800,86600,85400,85400,85900,85800,85400,85600,85800,86000,86500,87100,87700,88600,89200,89600,90000,90600,91000,91200,91100,91700,92900,93500,93400,93400,93900,94000,94100,95100,96300,96800,97000,97700,98900,100100,101100,101800,101600,100600,99500,99300,99600,99900
Champaign,IL,Champaign-Urbana,48500,50700,53400,55000,56000,57000,58700,60700,63200,65800,68400,71000,73200,74900,76000,77100,78000,78700,79000,78700,77900,77000,76100,75100,74500,73700,73100,72800,73200,73800,74200,74800,75600,76400,77300,78300,79100,79300,79200,79200,79600,79700,80000,80200,80200,79900,79800,79700,79900,80300,81000,81700,82100,82000,81900,82200,82600,83200,84100,85000,85500,86000,86200,86100,86100,86700,87200,87500,87500,87500,88200,89300,89900,90200,91000,91800,92400,92900,93300,94000,95400,96400,96600,97200,98200,99100,100000,100700,101600,102600,103400,103800,104000,104300,104800,105300,105800,105800,105900,106500,107100,107700,108200,108500,109100,110400,111300,111900,112700,113600,114400,115400,116600,118000,119500,120500,120900,121100,121100,121100,121500,121800,122000,122300,122500,122300,122300,122700,123300,123900,124400,125000,125800,126200,126300,126400,126100,125200,124500,124100,123500,123200,122800,121600,120200,119500,119500,119400,119300,119200,119200,118900,118300,117900,117900,118000,117700,117600,117400,117000,116700,116600,116400,116000,115600,115100,114500,113700,113100,112600,112100,111500,111000,110500,110300,110500,110800,110600,109900,109200,108800,108600,108700,108900,108800,108400,108100,107900,107500,107500,107700,108400,109100,109200,108200,106800,105600,105000,104600,104100,103500,103200,103400,104200,104500,104400,104400,104800,105400,105800,106000,106100,106200,106100,105900,105900,105900,105900,105800,105800,105900,106200,106000,105500,105300,105400,105300,105000,104700,104600,105300,106200,106900,107400,107800,108000,108500,108900,108700,108300,108100,108000,108100,108200,108200,108400,108900,109100,109200,109600,110400,110800,111300,111700,111700,111500,111300,111100,110800
Sangamon,IL,Springfield,65100,64100,63100,62000,61900,62600,62900,62800,62400,62300,62200,62400,62900,63700,64000,64000,63800,64400,65700,66100,65600,65100,64800,64800,64800,64600,65000,65600,65900,65600,65400,65000,64700,64200,63600,63100,63000,63300,63300,63200,63900,64700,64800,65200,66100,67000,67300,67600,68800,69800,69900,71100,72700,73100,72500,72900,75100,78100,79300,78500,77700,77100,76000,75200,74800,74200,73800,73700,73200,72100,71900,72600,72900,73100,73700,73500,72400,71900,71500,70900,70000,69700,70100,70700,71000,71100,71300,70900,70400,70700,71800,72500,73200,73700,74600,75300,75700,75800,76300,77000,77600,77900,78800,79600,79500,78300,77200,76700,76300,75800,75600,76000,76400,76400,75800,75500,75800,76400,76700,76700,76500,76600,77200,77700,77800,77600,77500,77400,77200,77300,77500,77100,76900,77200,77400,77400,77500,77500,77400,77300,77200,77100,77000,77400,78400,79200,79700,79900,80100,80300,80100,80100,80500,81000,81200,81000,80600,80300,79800,79100,78700,78700,78800,78600,77900,76900,76000,75800,75900,75700,75500,75400,75200,75300,75500,75500,75700,75800,75700,75800,75900,75700,75100,74500,74400,74300,74400,74500,74300,73800,73600,73400,73200,73300,73600,74100,74400,74100,73900,74000,74100,74000,73900,74000,74200,74300,74400,74800,75200,75700,76200,76300,76400,77300,78500,79100,78700,78300,78200,78200,77700,77200,76700,76200,75900,75800,75900,76000,76100,75900,75600,75500,75600,75700,75900,76200,76800,77600,77800,77100,77400,78800,79500,78900,78400,78700,79200,79200,79400,79300,79300,79600,79100,78000,78000,79000,79800,80200,80200
Peoria,IL,Peoria,,,,,,,,,,,,,,,,,88900,89700,90500,90600,90700,90300,89900,90100,89800,88200,86600,86100,86300,86700,86900,87000,87100,87400,88100,88600,88800,88600,88800,89500,89500,88400,87700,88100,88900,89300,89700,90400,91700,92900,92900,92900,92700,92300,92300,92500,91800,91200,92300,93900,94400,94200,94400,94700,95100,95700,95900,95000,94300,93200,90900,88700,88400,89700,91100,91800,92200,92500,92500,92600,93200,94200,94700,94400,93800,93800,93800,93700,93400,93200,93500,93400,92600,91600,91400,92600,93700,93700,94000,95200,96500,97100,96800,96300,96600,97400,98300,99100,99400,99400,99100,99400,99600,100700,102700,105000,106500,107900,109000,109700,110300,111100,111000,109700,108800,108600,108300,108100,108200,108000,108300,109100,109100,108400,108500,109400,110400,111200,111700,111600,111500,111100,110300,109100,109500,110800,111900,112600,113400,113300,113200,112600,112100,112100,112100,111700,111500,111200,110900,110300,109700,109300,108700,107700,107800,108900,109300,109100,108800,108400,107700,106800,106000,105600,106300,108000,109100,108900,108500,108200,107800,107100,106200,105700,104900,103900,103800,104400,104500,104300,104500,105000,105300,105800,106400,106700,107000,106600,105100,104100,104400,104400,104700,104600,103500,102200,102200,102800,104200,105800,106000,105200,104400,104200,104500,105100,105600,106000,105900,105600,105500,105900,105600,104700,103000,101000,99400,99100,98800,99100,99800,100100,100100,100500,100500,99600,98800,99100,98900,98200,97600,97400,97000,96500,95800,95600,95700,95600,96000,96800,97300,97600,98300,98300,98000,98000,96700,94800,93700
