county,income,employment,population,crime,price_to_rent,value,employment_rate,average_income,crime_rate,metro,lat,long
Adams,2810914,42446,66578,195,7.507142857,106816.6667,0.637537925,42219.86242,0.002928895,0,39.986052,-91.194961
Boone,2253951,23208,53503,195,8.6075,142966.6667,0.433770069,42127.56294,0.003644655,1,42.318983,-88.824295
Champaign,8926464,127014,208419,765,9.965833333,132908.3333,0.609416608,42829.41574,0.003670491,1,40.13898,-88.196996
Clark,606483,7946,15938,44,4.575,72650,0.498556908,38052.64149,0.002760698,0,39.332364,-87.791687
Clay,471764,7862,13300,60,5.70125,79191.66667,0.59112782,35470.97744,0.004511278,0,38.746832,-88.482344
Coles,1903948,31883,52343,118,5.768333333,79091.66667,0.609116787,36374.45313,0.002254361,0,39.51368,-88.220782
Cook,294875826,3513899,5203499,856,10.09583333,200975,0.675295412,56668.75808,0.000164505,1,41.894294,-87.645455
Effingham,1523708,27719,34386,179,8.494166667,122875,0.806112953,44311.87111,0.005205607,0,39.047945,-88.592849
Ford,669842,6803,13575,103,5.641666667,75058.33333,0.501141805,49343.79374,0.007587477,1,40.596539,-88.224588
Gallatin,223612,2202,5212,30,3.74625,64000,0.422486569,42903.30008,0.005755948,0,37.768677,-88.227964
Grundy,2421170,24953,50437,157,10.39916667,173183.3333,0.494736007,48003.84638,0.003112794,1,41.29241,-88.401054
Henry,2110100,20999,49280,50,7.910833333,109308.3333,0.426116071,42818.58766,0.00101461,1,41.35002,-90.130838
Iroquois,1184622,13110,28334,185,5.615,92783.33333,0.462694995,41809.20449,0.006529258,0,40.748867,-87.833601
Jackson,2008935,35908,58870,263,7.137142857,86400,0.609954136,34124.9363,0.004467471,1,37.786096,-89.381212
Kane,24566385,270945,531715,591,9.900833333,204175,0.509568096,46202.16657,0.001111498,1,41.939594,-88.42804
Kankakee,4199107,55497,110008,411,8.714166667,117700,0.504481492,38170.92393,0.003736092,1,41.13951,-87.861117
Kendall,5555452,40989,124695,258,9.548333333,213091.6667,0.328714062,44552.32367,0.002069048,1,41.58814,-88.430626
Knox,1957960,26255,50938,188,5.6675,71616.66667,0.515430523,38438.10122,0.003690761,0,40.93094,-90.213761
Lake,51291371,465116,703047,1145,10.30166667,227708.3333,0.661571701,72955.82088,0.001628625,1,42.326444,-87.436118
Livingston,1477511,18553,36526,202,6.565833333,84566.66667,0.50793955,40450.93906,0.005530307,0,40.894376,-88.552852
Macon,4742238,62997,106550,245,6.416666667,70341.66667,0.591243548,44507.16096,0.00229939,1,39.860237,-88.961529
McDonough,1072045,16320,30996,50,6.553333333,74900,0.526519551,34586.55956,0.001613111,0,40.455808,-90.678954
McHenry,15427535,140283,307004,349,9.7475,192000,0.456941929,50251.90226,0.001136793,1,42.324298,-88.452245
McLean,7882623,111871,172418,119,9.5775,140850,0.648835968,45718.09788,0.000690183,1,40.494559,-88.844539
Morgan,1290164,19101,34277,125,6.7625,84475,0.557254135,37639.35,0.00364676,0,39.7183,-90.202543
Peoria,8819746,122619,185006,934,8.688333333,102366.6667,0.66278391,47672.75656,0.005048485,1,40.785995,-89.767106
Rock Island,6034217,89250,144784,345,9.644166667,97666.66667,0.616435518,41677.37457,0.00238286,1,41.468404,-90.5722
Sangamon,8793346,126942,197499,753,8.5625,121375,0.642747558,44523.49632,0.003812678,1,39.757258,-89.662032
Stephenson,1799562,23768,45624,172,9.1625,89175,0.520953884,39443.31931,0.003769946,0,42.349726,-89.665994
Tazewell,5911752,70484,134385,211,9.578333333,120516.6667,0.524493061,43991.15973,0.001570116,1,40.508074,-89.51626
Warren,640826,8716,17378,77,5.745714286,67391.66667,0.501553689,36875.70491,0.00443089,0,40.850441,-90.620223
Whiteside,2262831,28201,56536,98,6.245,84316.66667,0.498814914,40024.60379,0.001733409,0,41.750571,-89.910957
Will,33097580,320604,689529,1024,9.520833333,193366.6667,0.464960865,48000.27265,0.001485072,1,41.448474,-87.97845
Williamson,2759830,37861,67560,306,8.4375,91391.66667,0.560405565,40850.05921,0.004529307,1,37.730353,-88.930018
Winnebago,11407382,164435,285873,1008,7.48,94383.33333,0.575202975,39903.67051,0.003526041,1,42.337396,-89.161205
