"","county","year","population","employment","income","rent","housevalue","price_to_rent","metro","employment_rate","mean_income"
"1","Adams","2012",67164,42929,2652079,NA,91041.6666666667,NA,0,0.639166815555953,39.4866148531952
"2","Boone","2012",53802,21818,2078854,NA,119050,7.49666666666667,1,0.405523958217167,38.6389725289023
"3","Champaign","2012",203937,123374,7886661,NA,126700,10.535,1,0.604961336098893,38.6720457788435
"4","Christian","2012",34520,15541,1237775,NA,62500,4.805,NA,0.450202780996524,35.8567497103129
"5","Clark","2012",16301,7387,571970,NA,60150,4.4,0,0.453162382675909,35.088031409116
"6","Clay","2012",13717,7705,475123,NA,63591.6666666667,NA,0,0.561711744550558,34.6375300721732
"7","Coles","2012",53344,31101,1782596,NA,78883.3333333333,6.2825,0,0.583027144571086,33.4169916016797
"8","Cook","2012",5230016,3263565,250500052,1490.75,163425,9.21333333333333,1,0.624006695199403,47.8966129357922
"9","DeKalb","2012",104276,51352,3497442,1300.25,131925,8.7425,NA,0.492462311557789,33.5402393647627
"10","Dewitt","2012",NA,NA,NA,NA,79266.6666666667,6.39916666666667,NA,NA,NA
"11","Du Page","2012",NA,NA,NA,1709.25,224775,10.835,NA,NA,NA
"12","Effingham","2012",34351,26977,1430101,NA,113775,7.77,0,0.785333760298099,41.6320048906873
"13","Ford","2012",13982,6879,639899,NA,73850,4.94416666666667,1,0.4919897010442,45.765913317122
"14","Gallatin","2012",5419,2057,202264,NA,71916.6666666667,NA,0,0.379590330319247,37.3249677062189
"15","Grundy","2012",50168,22267,3248958,1354.08333333333,148616.666666667,9.97666666666667,1,0.443848668473928,64.7615611545208
"16","Henry","2012",50160,20426,2022595,1193.25,99433.3333333333,6.99833333333333,1,0.407216905901116,40.3228668261563
"17","Iroquois","2012",29300,13269,1160309,1425.58333333333,82791.6666666667,NA,0,0.452866894197952,39.6009897610922
"18","Jackson","2012",58962,36842,1877489,NA,93591.6666666667,NA,1,0.624843119297174,31.8423560937553
"19","Kane","2012",521431,254707,21727410,1551.25,167758.333333333,9.02416666666667,1,0.488476902984287,41.6688114055359
"20","Kankakee","2012",112976,54745,3853714,1404.41666666667,137908.333333333,8.06083333333333,1,0.484571944483784,34.1109085115423
"21","Kendall","2012",118344,37853,4760091,1673.5,175733.333333333,8.5875,1,0.31985567498141,40.222495437031
"22","Knox","2012",52302,26696,1915656,NA,66925,4.62,0,0.510420251615617,36.6268211540668
"23","La Salle","2012",NA,NA,NA,NA,95683.3333333333,5.64333333333333,0,NA,NA
"24","Lake","2012",701220,450677,45881658,1645.66666666667,196575,9.58583333333333,1,0.642704144205813,65.4311885000428
"25","Livingston","2012",38553,18531,1484963,1212.25,88100,6.17833333333333,0,0.480662983425414,38.5174435193111
"26","Macon","2012",110083,64464,4519942,NA,75575,6.7475,1,0.585594505963682,41.059400634067
"27","McDonough","2012",32516,17381,1063543,NA,75791.6666666667,NA,0,0.534536843400172,32.7082974535613
"28","McHenry","2012",307529,135646,13949302,1501.5,159600,8.7925,1,0.441083605123419,45.3593059516338
"29","McLean","2012",172560,113305,7382857,NA,135175,10.1183333333333,1,0.656612192860454,42.7842895224849
"30","Morgan","2012",35365,18934,1264785,NA,72166.6666666667,5.81083333333333,0,0.535388095574721,35.7637494698148
"31","Peoria","2012",187121,125500,8909804,1070.33333333333,102400,7.85416666666667,1,0.670689019404556,47.615200859337
"32","Rock Island","2012",NA,92556,5871544,906.416666666667,93683.3333333333,8.5375,1,NA,NA
"33","Sangamon","2012",199269,124098,8085019,NA,113458.333333333,8.34083333333333,1,0.622766210499375,40.5733907431663
"34","Stephenson","2012",46938,25129,1754920,NA,65250,NA,0,0.535365801695854,37.3880438024628
"35","Tazewell","2012",136111,76366,5722214,NA,115716.666666667,8.11916666666667,1,0.561056784536151,42.0407902373798
"36","Warren","2012",17736,8641,615023,1111.66666666667,55733.3333333333,NA,0,0.487201172755977,34.6765336039693
"37","Whiteside","2012",57786,28190,2215784,1241.5,81633.3333333333,5.275,0,0.487834423562801,38.3446509535182
"38","Will","2012",682091,284012,28950452,1566.41666666667,162291.666666667,8.60333333333333,1,0.416384324085789,42.4436798022551
"39","Williamson","2012",66793,35831,2613400,NA,73625,5.8375,1,0.536448430224724,39.1268546105131
"40","Winnebago","2012",291934,161971,10444223,NA,92475,7.75333333333333,1,0.554820610137908,35.7759733364391
"41","Woodford","2012",38943,15868,1796515,1268.33333333333,145591.666666667,8.62,1,0.407467324037696,46.1319107413399
"42","Adams","2013",66997,42761,2686339,1202.16666666667,94691.6666666667,NA,0,0.638252459065331,40.0964073018195
"43","Boone","2013",53779,22379,2100837,1357.25,119975,7.425,1,0.416128972275424,39.0642630022871
"44","Champaign","2013",205365,124035,8140161,990.833333333333,127316.666666667,10.365,1,0.603973413191148,39.6375283032649
"45","Christian","2013",34183,15366,1314168,NA,65158.3333333333,4.78666666666667,NA,0.449521692069157,38.4450750372992
"46","Clark","2013",16145,7606,622594,NA,68883.3333333333,4.7925,0,0.471105605450604,38.5626509755342
"47","Clay","2013",13522,7577,502541,NA,69458.3333333333,NA,0,0.560346102647537,37.1646945718089
"48","Coles","2013",53046,31111,1851878,1240.16666666667,81008.3333333333,6.32666666666667,0,0.586490970101421,34.9107944048562
"49","Cook","2013",5240283,3303949,257827087,1540,171808.333333333,9.31916666666667,1,0.630490567017087,49.2009853284641
"50","DeKalb","2013",104148,51669,3639496,1303.5,134766.666666667,8.34,NA,0.496111303145524,34.9454238199485
"51","Dewitt","2013",NA,NA,NA,NA,80450,6.9775,NA,NA,NA
"52","Du Page","2013",NA,NA,NA,1741.58333333333,239941.666666667,11.0583333333333,NA,NA,NA
"53","Effingham","2013",34312,26838,1474623,NA,116483.333333333,7.78333333333333,0,0.782175332245279,42.97688855211
"54","Ford","2013",13803,6838,703883,1158.91666666667,76875,5.45833333333333,1,0.495399550822285,50.9949286387017
"55","Gallatin","2013",5408,2018,258109,NA,72100,NA,0,0.373150887573964,47.7272559171598
"56","Grundy","2013",50177,22507,2800390,1283.75,156816.666666667,9.90083333333333,1,0.448552125475816,55.8102317795006
"57","Henry","2013",49831,20480,2124752,1154.08333333333,102783.333333333,7.4875,1,0.410989143304369,42.6391603620236
"58","Iroquois","2013",28982,13374,1252744,1372,95208.3333333333,NA,0,0.461458836519219,43.2248982126837
"59","Jackson","2013",59593,36198,1923364,NA,99675,NA,1,0.607420334603057,32.2749987414629
"60","Kane","2013",523590,260923,22146471,1645.83333333333,175191.666666667,8.5725,1,0.498334574762696,42.2973528906205
"61","Kankakee","2013",112227,55039,3976637,1227,111200,7.82,1,0.490425655145375,35.4338706371907
"62","Kendall","2013",119709,37985,4942331,1679.33333333333,183408.333333333,8.65916666666667,1,0.317311146196192,41.2862107276813
