"","GeoName","employment_rate"
"1","Adams",42446
"2","Alexander",2177
"3","Bond",7399
"4","Boone",23208
"5","Brown",5029
"6","Bureau",16498
"7","Calhoun",1742
"8","Carroll",6847
"9","Cass",7602
"10","Champaign",127014
"11","Christian",14898
"12","Clark",7946
"13","Clay",7862
"14","Clinton",16723
"15","Coles",31883
"16","Cook",3513899
"17","Crawford",11032
"18","Cumberland",4513
"19","De Witt",7358
"20","DeKalb",53517
"21","Douglas",12367
"22","DuPage",792793
"23","Edgar",9453
"24","Edwards",3885
"25","Effingham",27719
"26","Fayette",8476
"27","Ford",6803
"28","Franklin",13133
"29","Fulton",12556
"30","Gallatin",2202
"31","Greene",4397
"32","Grundy",24953
"33","Hamilton",3656
"34","Hancock",7230
"35","Hardin",1365
"36","Henderson",2208
"37","Henry",20999
"38","Illinois",7824152
"39","Iroquois",13110
"40","Jackson",35908
"41","Jasper",4563
"42","Jefferson",26045
"43","Jersey",7753
"44","Jo Daviess",12344
"45","Johnson",3994
"46","Kane",270945
"47","Kankakee",55497
"48","Kendall",40989
"49","Knox",26255
"50","Lake",465116
"51","LaSalle",55663
"52","Lawrence",6384
"53","Lee",17011
"54","Livingston",18553
"55","Logan",12496
"56","Macon",62997
"57","Macoupin",16564
"58","Madison",130675
"59","Marion",19368
"60","Marshall",4644
"61","Mason",5022
"62","Massac",5247
"63","McDonough",16320
"64","McHenry",140283
"65","McLean",111871
"66","Menard",3631
"67","Mercer",5342
"68","Monroe",12900
"69","Montgomery",12774
"70","Morgan",19101
"71","Moultrie",6545
"72","Ogle",23303
"73","Peoria",122619
"74","Perry",7155
"75","Piatt",5817
"76","Pike",6997
"77","Pope",1368
"78","Pulaski",2396
"79","Putnam",2647
"80","Randolph",15925
"81","Richland",9519
"82","Rock Island",89250
"83","Saline",11819
"84","Sangamon",126942
"85","Schuyler",2926
"86","Scott",1868
"87","Shelby",8628
"88","St. Clair",128047
"89","Stark",2366
"90","Stephenson",23768
"91","Tazewell",70484
"92","Union",7182
"93","Vermilion",36894
"94","Wabash",5712
"95","Warren",8716
"96","Washington",9031
"97","Wayne",8199
"98","White",8100
"99","Whiteside",28201
"100","Will",320604
"101","Williamson",37861
"102","Winnebago",164435
"103","Woodford",15675
