RegionName,State,Metro,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
Cook,IL,Chicago,1571,1565,1557,1548,1537,1527,1517,1506,1498,1491,1488,1482,1478,1478,1480,1487,1492,1494,1493,1489,1486,1483,1485,1494,1501,1505,1502,1501,1504,1518,1535,1548,1548,1551,1555,1565,1571,1582,1594,1605,1606,1600,1598,1599,1610,1616,1625,1631,1643,1645,1644,1640,1640,1641,1640,1644,1649,1655,1654,1650,1647,1646,1656,1662,1671,1672,1670,1666,1662,1660,1657,1654,1651,1644,1638,1635,1636,1642,1650,1658,1666,1671,1673,1670
Du Page,IL,Chicago,1680,1679,1688,1701,1713,1717,1714,1705,1698,1694,1692,1694,1700,1704,1707,1706,1705,1709,1712,1714,1710,1706,1705,1707,1714,1716,1713,1710,1709,1713,1723,1734,1745,1751,1758,1766,1781,1796,1813,1823,1828,1825,1821,1819,1821,1826,1831,1830,1826,1818,1805,1797,1796,1803,1816,1832,1849,1863,1870,1874,1877,1878,1882,1888,1889,1885,1878,1877,1876,1875,1878,1884,1894,1900,1906,1911,1919,1929,1937,1939,1939,1941,1945,1947
Lake,IL,Chicago,1651,1655,1651,1647,1646,1643,1633,1623,1617,1618,1620,1619,1618,1616,1618,1620,1620,1622,1633,1649,1658,1661,1660,1664,1669,1674,1676,1679,1678,1676,1671,1667,1668,1677,1695,1712,1729,1734,1735,1731,1731,1732,1735,1729,1729,1727,1731,1731,1738,1745,1753,1759,1760,1763,1767,1774,1780,1783,1782,1781,1780,1777,1778,1781,1783,1784,1785,1785,1776,1764,1749,1737,1730,1723,1721,1727,1737,1746,1751,1758,1765,1772,1776,1780
Will,IL,Chicago,1659,1652,1649,1649,1639,1630,1623,1617,1609,1595,1588,1588,1597,1603,1600,1588,1577,1566,1559,1553,1551,1552,1557,1562,1565,1567,1569,1570,1572,1573,1578,1586,1599,1616,1626,1629,1632,1640,1644,1648,1652,1658,1661,1662,1661,1661,1662,1663,1667,1669,1674,1682,1690,1694,1694,1694,1690,1683,1674,1664,1662,1658,1661,1662,1666,1668,1670,1671,1672,1672,1671,1667,1663,1654,1644,1642,1646,1653,1659,1661,1662,1664,1669,1677
Kane,IL,Chicago,1485,1477,1465,1459,1465,1476,1487,1493,1507,1526,1549,1557,1551,1540,1533,1534,1534,1538,1538,1546,1548,1550,1553,1563,1579,1599,1620,1638,1646,1648,1642,1633,1628,1632,1642,1656,1671,1694,1717,1733,1744,1749,1751,1743,1736,1725,1713,1698,1684,1676,1675,1678,1681,1679,1688,1700,1708,1706,1699,1697,1698,1701,1698,1693,1689,1689,1685,1681,1679,1682,1684,1686,1690,1686,1676,1663,1654,1653,1661,1674,1685,1690,1693,1693
McHenry,IL,Chicago,1514,1526,1535,1542,1537,1524,1509,1500,1495,1494,1493,1491,1494,1491,1489,1487,1485,1486,1490,1497,1503,1505,1508,1514,1526,1528,1526,1524,1521,1523,1528,1533,1538,1539,1538,1533,1533,1529,1529,1536,1550,1562,1570,1573,1577,1581,1584,1585,1592,1593,1593,1592,1592,1595,1598,1604,1607,1611,1608,1604,1606,1605,1611,1614,1618,1618,1618,1611,1601,1593,1594,1600,1613,1613,1609,1603,1598,1594,1590,1589,1592,1597,1602,1608
Winnebago,IL,Rockford,,,,,,,,,,,,,,,,,,988,967,965,982,1006,1032,1038,1035,1012,985,976,986,999,999,1003,1027,1064,1085,1082,1073,1060,1059,1040,1007,968,946,932,930,933,940,947,954,956,958,962,969,981,1003,1013,1016,1006,1005,1000,1001,1003,1005,1003,1005,1012,1016,1015,1005,997,991,992,1001,1006,1011,1023,1034,1040,1032,1023,1017,1013,1015,1014
Saint Clair,IL,St. Louis,1263,1247,1239,1228,1215,1207,1201,1185,1143,1078,1014,968,950,940,944,953,958,957,952,957,966,984,1001,1012,1013,1001,981,961,947,940,934,935,936,940,940,932,930,923,915,908,906,903,900,897,900,904,912,920,933,940,938,931,920,910,900,893,894,897,898,893,893,887,886,887,897,901,906,908,909,907,906,908,913,912,908,903,899,893,885,877,872,873,878,882
Madison,IL,St. Louis,1217,1218,1213,1204,1192,1183,1175,1162,1140,1078,1006,933,906,888,890,891,882,857,841,843,864,897,931,959,968,949,916,896,888,889,898,905,907,907,905,904,906,901,895,885,877,874,867,861,859,862,869,875,890,893,896,899,906,913,913,911,901,896,892,897,914,925,934,933,930,924,915,910,911,917,921,922,924,920,918,923,932,944,951,951,946,947,956,966
Champaign,IL,Champaign-Urbana,,,,,,,,,,,,,,,,,,966,987,1002,1007,1001,989,979,959,957,966,978,991,994,993,992,988,983,984,995,1007,1019,1028,1037,1044,1041,1024,1002,995,1000,1022,1040,1042,1043,1038,1034,1028,1023,1021,1024,1034,1043,1048,1052,1052,1058,1075,1093,1116,1123,1128,1128,1121,1109,1098,1093,1083,1084,1090,1102,1117,1130,1135,1137,1136,1132,1128,1123
Peoria,IL,Peoria,1197,1216,1225,1227,1221,1217,1206,1190,1157,1133,1132,1150,1179,1183,1175,1168,1129,1073,1031,1031,1063,1083,1081,1054,1001,955,928,916,930,960,997,1031,1051,1053,1026,993,981,981,980,970,953,941,924,909,919,948,980,984,975,964,957,950,952,957,972,977,967,942,919,914,917,927,935,940,949,954,951,930,896,873,876,900,922,930,936,947,961,968,960,944,930,924,924,932
Rock Island,IL,Davenport,1206,1219,1212,1213,1210,1210,1207,1209,1205,1198,1186,1143,1124,1072,1056,1003,970,935,916,906,890,869,848,833,828,823,818,822,831,840,845,851,862,867,874,890,906,919,920,918,901,883,871,864,865,871,880,886,885,883,872,867,863,861,856,844,835,838,840,842,829,821,816,827,839,848,846,842,835,824,812,805,806,814,822,831,836,841,844,846,843,840,839,846
Kendall,IL,Chicago,1594,1608,1640,1665,1685,1686,1690,1692,1671,1648,1642,1657,1677,1678,1678,1675,1668,1663,1662,1658,1662,1658,1665,1676,1707,1710,1696,1680,1672,1662,1649,1646,1658,1678,1689,1698,1709,1715,1721,1726,1732,1739,1754,1764,1772,1773,1771,1761,1748,1733,1716,1714,1719,1732,1724,1713,1711,1731,1748,1754,1760,1764,1783,1799,1807,1811,1815,1818,1814,1805,1791,1780,1778,1782,1778,1772,1764,1770,1785,1806,1819,1821,1815,1809
Kankakee,IL,Kankakee,1343,1357,1364,1370,1366,1362,1364,1372,1377,1381,1373,1377,1384,1384,1382,1381,1408,1426,1444,1435,1418,1399,1400,1401,1386,1373,1349,1339,1277,1225,1173,1169,1183,1198,1205,1200,1198,1208,1220,1222,1223,1227,1229,1220,1209,1208,1215,1231,1246,1232,1221,1215,1241,1254,1259,1253,1241,1219,1184,1150,1122,1112,1117,1118,1117,1114,1120,1125,1133,1144,1154,1154,1152,1152,1151,1143,1144,1154,1164,1165,1161,1159,1159,1161
Macon,IL,Decatur,,,,,,,,,,,,,,,,,,1110,1105,1105,1118,1119,1129,1130,1133,1120,1116,1115,1094,1061,1039,1048,1069,1076,1045,990,975,982,1026,1034,1049,1039,1016,971,939,928,942,960,973,973,957,951,948,972,997,1010,997,982,977,980,969,949,928,921,930,931,931,920,906,893,878,879,886,892,889,891,893,895,894,894,902,914,928,951
DeKalb,IL,Chicago,1448,1468,1475,1479,1475,1472,1467,1472,1471,1445,1400,1351,1329,1303,1282,1264,1243,1244,1256,1280,1296,1308,1327,1348,1381,1374,1361,1334,1318,1295,1281,1267,1276,1291,1308,1307,1311,1293,1287,1286,1305,1325,1334,1328,1305,1299,1300,1326,1356,1373,1382,1393,1406,1416,1417,1407,1390,1375,1358,1338,1322,1319,1331,1349,1352,1341,1323,1304,1296,1290,1286,1287,1295,1294,1287,1279,1262,1249,1247,1263,1284,1298,1308,1309
