RegionName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
Cook,205900,203600,201500,199900,199200,197800,195700,193600,191900,189700,187200,185300,184400,183500,181800,179300,176900,175000,173100,170900,168900,167200,166100,165200,163800,162700,162200,162300,162800,163600,164500,164800,164100,163400,163300,163600,163900,164200,164800,166300,168400,171400,173900,175300,176500,178000,179200,179800,180600,181100,181500,181700,182000,182100,182500,183700,185100,185900,186300,186300,186000,186300,187800,190000,191400,192000,192800,193900,195000,195600,196100,196300,196000,196300,197700,199400,200100,200700,201300,202000,202700,203900,204900,206700,209100,211100,211700,211900,212200,212600,213400,214400,214700,214400
Du Page,263100,262200,261200,258600,255400,252600,249900,246800,243000,239300,237300,237500,238000,237300,236400,235800,234800,232900,230900,229600,228500,226400,224000,222500,221200,219200,217800,218100,220100,223300,227000,229000,229300,229900,231200,231200,231100,232400,234700,236500,238000,239600,241600,243300,244700,245300,245600,246500,247700,248700,250100,251900,253400,254400,255100,255200,255400,255600,255300,254800,255000,256000,257400,258800,259700,260000,259500,258900,258800,259600,260500,260800,261000,262100,262900,263900,264700,265000,264900,265700,267900,270500,272400,274500,276600,277100,276100,275100,275000,275700,276300,277600,279300,280500
Lake,229000,228400,226200,223600,222000,220400,218300,216700,215000,212500,210500,209400,207600,204800,203900,205400,205600,204500,203600,202000,199900,199200,199100,197700,195900,195000,194800,194600,195400,196400,197100,197600,198100,198500,198300,197200,195900,195400,195500,196400,198400,200800,202800,204800,206800,208300,209200,210700,212900,214400,214900,215100,215100,215000,215400,216400,217100,217000,217100,217700,218400,219500,220900,221600,221400,220800,220900,221400,221500,221600,222100,222600,223100,224200,225500,226700,227700,228000,227600,227700,228900,230200,231100,231800,232600,233200,232600,230700,229900,231300,232500,232700,233000,233500
Will,193100,192400,191500,190600,189700,188400,186300,183900,181000,178200,176400,176200,175600,174000,173300,173000,171500,169500,168900,169100,168900,168400,168000,166200,163700,161700,160800,160700,161100,161800,162600,162700,162500,162900,163400,163600,163500,163800,165300,167200,168700,169700,170300,170900,172200,173800,174500,174900,175500,176500,177300,178200,179500,180600,181000,180900,181000,181000,180600,180700,181600,182600,182500,181900,182100,182700,183400,184000,184800,185800,187200,188700,189700,190500,190700,190700,191300,192300,193300,194600,195700,196200,196900,198500,200700,202900,204300,204700,204900,205600,206700,208500,209900,210600
Kane,206300,203700,203100,200900,198500,196800,195700,194500,193100,191500,190000,188800,187600,185800,184200,182900,181100,178600,176000,173700,172000,170800,169900,169200,168600,167900,167100,166700,166800,167000,167200,167400,167900,168500,168800,169200,169900,170900,172000,172600,172800,173600,174900,176500,178300,179400,180200,181200,182100,182800,183700,184700,185600,186500,187500,188400,189000,188800,188500,188900,189700,190400,191400,193300,195800,197500,198000,197800,197900,198300,198500,198900,200100,201000,200800,201200,202300,203500,204200,204800,205800,207200,208700,210500,212700,214500,215600,216300,217000,217500,218200,218800,218500,217800
McHenry,199500,195900,194600,193300,192300,191200,189900,188700,187800,186800,184600,182000,180900,180400,179000,177000,174600,172000,169600,166900,164300,162100,161000,160300,159600,158800,158300,157800,157500,158000,159500,161300,162100,161700,160500,160100,160200,160300,160600,162000,163600,165300,166500,167100,168300,169900,171400,172200,172200,172400,173100,173600,173700,174900,176700,178200,178800,179200,180000,181900,183700,184500,184400,184700,185200,184900,184600,184500,184700,184800,185000,185500,186600,187800,189100,190600,191800,192000,191800,192000,193000,194600,196500,198200,199300,200300,201400,202800,204400,205000,204600,204700,205000,205100
Winnebago,114500,113600,112400,111600,111400,111100,110000,108400,107200,106500,105600,104000,102600,101600,100100,98400,97300,97300,97800,97500,96300,95000,94700,94900,94800,94300,94100,94000,93500,92700,91900,91500,91400,91000,90400,90100,90100,89900,89500,89400,89600,89700,89500,89300,89300,89400,89400,89200,89000,89100,89300,88900,88000,87200,86700,86100,85500,85100,85100,85200,85300,85400,85500,85600,86100,86900,87700,88400,89100,89700,90000,90100,90400,91100,92200,93400,94100,94400,94800,95300,96000,96600,97000,97300,97700,98300,99100,99600,99500,99300,99100,99300,99500,99500
Champaign,130500,130200,129600,129200,129000,129000,129000,128900,128900,129000,129400,129900,130100,129800,129300,129200,129100,128900,128800,128700,128400,127600,126900,126300,125800,125900,126600,127400,128200,128100,127300,126300,125900,126100,126500,126300,125800,125900,126400,126600,126400,126500,127200,128500,129300,129300,128400,127500,127200,127300,127300,127400,127500,127400,127100,126900,127400,128000,128600,129500,129900,130000,130200,130400,130500,130700,130500,130300,130700,131300,131600,131800,132600,133000,132500,132000,132000,132200,132800,133200,133200,133300,133700,134400,134800,135200,136000,137100,137700,137600,137600,137700,137500,137100
Sangamon,110600,109100,109700,109700,109900,110500,111000,111300,111400,111200,110900,111400,112200,112300,112200,112700,113100,113100,113100,113300,113500,113700,113900,114200,114600,114400,114000,113900,113900,113700,113400,112900,112600,112600,112500,113000,113600,113800,114100,114500,114500,114400,114500,114900,115200,115500,115500,115600,117200,119200,119900,119000,118400,118200,118200,118100,118000,117700,117200,116900,116700,116100,115700,116000,116400,116800,117200,117900,118500,119100,119600,120100,120500,121000,121100,120900,120500,120700,121200,121800,122100,122200,122100,122400,122600,122700,122800,122900,123100,123000,122600,121900,121800,121800
Peoria,106200,107900,107600,107700,107300,106600,106500,106800,106800,106400,106200,105900,105300,104600,103700,102800,102200,101700,101500,101300,101000,100700,100800,100600,100600,101200,102000,102500,103000,103200,102900,102600,102600,102900,102800,102500,102100,101700,101000,100400,100300,100600,101000,100900,100600,100400,100500,100300,100000,100400,101300,101700,101400,100500,99500,99100,98900,98600,98300,97900,97200,96600,96600,97100,97800,98800,99800,100600,101300,101700,101300,100900,101100,101700,102300,102900,103300,103400,103200,102600,102200,101900,101800,102000,102000,101900,101600,101000,100400,100300,100200,100000,99900,99700
