"","RegionName","Metro","four_bed_price"
"1","Cook","Chicago",336770
"2","Du Page","Chicago",381690
"3","Lake","Chicago",366930
"4","Will","Chicago",296520
"5","Kane","Chicago",296630
"6","McHenry","Chicago",271320
"7","Winnebago","Rockford",147290
"8","Champaign","Champaign-Urbana",213850
"9","Sangamon","Springfield",206810
"10","Peoria","Peoria",171210
"11","McLean","Bloomington",219850
"12","Rock Island","Davenport",148220
"13","Tazewell","Peoria",178420
"14","Kendall","Chicago",260420
"15","Kankakee","Kankakee",146810
"16","Macon","Decatur",95550
"17","DeKalb","Chicago",191090
"18","Vermilion","Danville",97410
"19","Adams","Quincy",157680
"20","Williamson","Carbondale",173540
"21","Whiteside","Sterling",116210
"22","Boone","Rockford",185620
"23","Coles","Charleston",118600
"24","Knox","Galesburg",130770
"25","Henry","Davenport",126640
"26","Grundy","Chicago",232440
"27","Stephenson","Freeport",144720
"28","Livingston","Pontiac",116130
"29","Woodford","Peoria",203810
"30","Christian","Taylorville",101840
"31","Jo Daviess",NA,235480
"32","Ford","Champaign-Urbana",115200
