"","RegionName","Metro","two_bed_price"
"1","Cook","Chicago",183570
"2","Du Page","Chicago",163980
"3","Lake","Chicago",135000
"4","Will","Chicago",150540
"5","Kane","Chicago",150320
"6","McHenry","Chicago",139270
"7","Winnebago","Rockford",61000
"8","Champaign","Champaign-Urbana",99180
"9","Sangamon","Springfield",77070
"10","Peoria","Peoria",64120
"11","McLean","Bloomington",93910
"12","Rock Island","Davenport",72380
"13","Tazewell","Peoria",77250
"14","Kendall","Chicago",140290
"15","Kankakee","Kankakee",75380
"16","Macon","Decatur",30580
"17","DeKalb","Chicago",118370
"18","Williamson","Carbondale",54560
"19","Boone","Rockford",93400
"20","Coles","Charleston",53180
"21","Henry","Davenport",73560
"22","Grundy","Chicago",128440
"23","Stephenson","Freeport",99290
"24","Livingston","Pontiac",72140
"25","Jefferson","Mount Vernon",42470
"26","Woodford","Peoria",91540
"27","Christian","Taylorville",59580
"28","Effingham","Effingham",123420
"29","Ford","Champaign-Urbana",65970
