"","RegionName","Metro","thr_bed_price"
"1","Cook","Chicago",242570
"2","Du Page","Chicago",242010
"3","Lake","Chicago",194990
"4","Will","Chicago",189860
"5","Kane","Chicago",181560
"6","McHenry","Chicago",193720
"7","Winnebago","Rockford",95720
"8","Champaign","Champaign-Urbana",137110
"9","Sangamon","Springfield",130830
"10","Peoria","Peoria",113840
"11","McLean","Bloomington",139720
"12","Rock Island","Davenport",108880
"13","Tazewell","Peoria",125640
"14","Kendall","Chicago",187720
"15","Kankakee","Kankakee",113900
"16","Macon","Decatur",63820
"17","DeKalb","Chicago",148840
"18","Vermilion","Danville",63560
"19","Adams","Quincy",112670
"20","Williamson","Carbondale",116320
"21","Jackson","Carbondale",105170
"22","Boone","Rockford",140170
"23","Coles","Charleston",87120
"24","Knox","Galesburg",86790
"25","Henry","Davenport",117040
"26","Grundy","Chicago",166690
"27","Stephenson","Freeport",121100
"28","Livingston","Pontiac",99860
"29","Jefferson","Mount Vernon",83740
"30","Woodford","Peoria",146560
"31","Morgan","Jacksonville",100620
"32","Bureau","Ottawa",85950
"33","Christian","Taylorville",92580
"34","Jo Daviess",NA,150460
"35","Ford","Champaign-Urbana",79000
